## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00   7.2253e-01   1.7144e-03   4.0748e+04   2.0566e+05
  2.4037e-01   2.5682e-01  -1.3719e+00   7.1858e-01   1.1734e-03   1.2879e+05   6.5003e+05
  4.3133e-01   4.6044e-01  -7.8753e-01   7.1909e-01   9.0593e-04   4.0796e+05   2.0591e+06
  7.7400e-01   8.2605e-01  -2.0242e-01   7.1917e-01   4.3031e-04   1.2864e+06   6.4926e+06
  1.3889e+00   1.4840e+00   3.8380e-01   7.1917e-01   2.4911e-04   4.0670e+06   2.0527e+07
  2.4922e+00   2.6666e+00   9.6989e-01   7.1934e-01   2.2266e-04   1.2830e+07   6.4753e+07
  4.4721e+00   4.7891e+00   1.5553e+00   7.1924e-01   2.0673e-04   4.0642e+07   2.0513e+08
  8.0249e+00   8.5987e+00   2.1404e+00   7.1913e-01   1.7178e-04   1.2924e+08   6.5230e+08
  1.4400e+01   1.5432e+01   2.7249e+00   7.1905e-01   1.7406e-04   4.1081e+08   2.0734e+09
  2.5840e+01   2.7695e+01   3.3095e+00   7.1908e-01   1.7826e-04   1.3054e+09   6.5887e+09
  4.6368e+01   4.9684e+01   3.8938e+00   7.1903e-01   1.7473e-04   4.1340e+09   2.0865e+10
  8.3204e+01   8.9122e+01   4.4781e+00   7.1906e-01   1.6773e-04   1.3025e+10   6.5740e+10
  1.4930e+02   1.5980e+02   5.0619e+00   7.1908e-01   1.5425e-04   4.0426e+10   2.0404e+11
