## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   4.0607e-01   2.5185e-02   7.3985e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   1.1780e-01   9.6821e-03   3.1465e+03   1.5855e+04
  4.3133e-01   4.6142e-01  -7.8618e-01   2.6667e-02   5.1412e-03   1.0101e+04   5.0900e+04
  7.7400e-01   8.2758e-01  -2.0169e-01   1.3356e-02   1.9419e-03   3.1458e+04   1.5851e+05
  1.3889e+00   1.4837e+00   3.8250e-01   6.6915e-03   2.5288e-03   9.9807e+04   5.0291e+05
  2.4922e+00   2.6632e+00   9.6783e-01   4.1954e-03   8.5823e-04   3.1659e+05   1.5953e+06
  4.4721e+00   4.7831e+00   1.5536e+00   2.3381e-03   5.4463e-04   1.0088e+06   5.0831e+06
  8.0249e+00   8.5905e+00   2.1392e+00   1.4232e-03   3.4259e-04   3.2195e+06   1.6223e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.1109e-03   4.5988e-04   1.0260e+07   5.1697e+07
  2.5840e+01   2.7676e+01   3.3089e+00   5.3636e-04   6.1075e-04   3.2640e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.5163e-04   5.3175e-04   1.0353e+08   5.2169e+08
  8.3204e+01   8.9092e+01   4.4778e+00  -1.3010e-04   3.7207e-04   3.2619e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   3.7036e-04   2.7267e-04   1.0131e+09   5.1048e+09
