## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4349e-01  -1.9544e+00   7.1777e-01   6.7910e-03   4.2375e+03   2.1352e+04
  2.4037e-01   2.5725e-01  -1.3705e+00   7.1722e-01   5.6186e-03   1.3550e+04   6.8279e+04
  4.3133e-01   4.6127e-01  -7.8640e-01   7.1711e-01   6.2014e-03   4.2609e+04   2.1470e+05
  7.7400e-01   8.2653e-01  -2.0271e-01   7.1844e-01   4.3955e-03   1.3441e+05   6.7728e+05
  1.3889e+00   1.4827e+00   3.8216e-01   7.1825e-01   4.6680e-03   4.2317e+05   2.1323e+06
  2.4922e+00   2.6627e+00   9.6804e-01   7.1781e-01   4.6939e-03   1.3367e+06   6.7352e+06
  4.4721e+00   4.7849e+00   1.5543e+00   7.1823e-01   4.9091e-03   4.2431e+06   2.1380e+07
  8.0249e+00   8.5932e+00   2.1398e+00   7.1838e-01   4.9735e-03   1.3508e+07   6.8063e+07
  1.4400e+01   1.5425e+01   2.7246e+00   7.1837e-01   4.9947e-03   4.2982e+07   2.1658e+08
  2.5840e+01   2.7688e+01   3.3093e+00   7.1841e-01   4.9857e-03   1.3657e+08   6.8816e+08
  4.6368e+01   4.9677e+01   3.8938e+00   7.1825e-01   4.9342e-03   4.3282e+08   2.1809e+09
  8.3204e+01   8.9116e+01   4.4780e+00   7.1803e-01   4.9016e-03   1.3644e+09   6.8750e+09
  1.4930e+02   1.5981e+02   5.0620e+00   7.1767e-01   4.7728e-03   4.2393e+09   2.1361e+10
