## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4333e-01  -1.9554e+00   7.1814e-01   1.0307e-03   1.6810e+05   8.4844e+05
  2.4037e-01   2.5689e-01  -1.3716e+00   7.1870e-01   5.7729e-04   5.3466e+05   2.6985e+06
  4.3133e-01   4.6045e-01  -7.8748e-01   7.1916e-01   4.3955e-04   1.6927e+06   8.5434e+06
  7.7400e-01   8.2632e-01  -2.0215e-01   7.1923e-01   2.3219e-04   5.3452e+06   2.6978e+07
  1.3889e+00   1.4846e+00   3.8400e-01   7.1907e-01   1.6692e-04   1.6890e+07   8.5246e+07
  2.4922e+00   2.6672e+00   9.6989e-01   7.1910e-01   1.5880e-04   5.3315e+07   2.6909e+08
  4.4721e+00   4.7896e+00   1.5552e+00   7.1910e-01   1.5688e-04   1.6893e+08   8.5263e+08
  8.0249e+00   8.5991e+00   2.1401e+00   7.1909e-01   1.6318e-04   5.3717e+08   2.7112e+09
  1.4400e+01   1.5431e+01   2.7246e+00   7.1907e-01   1.6593e-04   1.7084e+09   8.6225e+09
  2.5840e+01   2.7687e+01   3.3091e+00   7.1909e-01   1.7870e-04   5.4278e+09   2.7395e+10
  4.6368e+01   4.9684e+01   3.8938e+00   7.1907e-01   1.7118e-04   1.7216e+10   8.6891e+10
  8.3204e+01   8.9126e+01   4.4781e+00   7.1908e-01   1.6814e-04   5.4249e+10   2.7381e+11
  1.4930e+02   1.5979e+02   5.0618e+00   7.1908e-01   1.5609e-04   1.6843e+11   8.5010e+11
