## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   1.1238e+00   2.5162e-02   7.3985e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   8.3502e-01   1.0118e-02   3.1465e+03   1.5855e+04
  4.3133e-01   4.6142e-01  -7.8618e-01   7.4378e-01   6.0476e-03   1.0101e+04   5.0900e+04
  7.7400e-01   8.2758e-01  -2.0169e-01   7.3179e-01   5.1443e-03   3.1458e+04   1.5851e+05
  1.3889e+00   1.4837e+00   3.8250e-01   7.2494e-01   6.4839e-03   9.9807e+04   5.0291e+05
  2.4922e+00   2.6632e+00   9.6783e-01   7.2201e-01   4.9268e-03   3.1659e+05   1.5953e+06
  4.4721e+00   4.7831e+00   1.5536e+00   7.2057e-01   5.1063e-03   1.0088e+06   5.0831e+06
  8.0249e+00   8.5905e+00   2.1392e+00   7.1980e-01   4.7312e-03   3.2195e+06   1.6223e+07
  1.4400e+01   1.5422e+01   2.7242e+00   7.1948e-01   4.7430e-03   1.0260e+07   5.1697e+07
  2.5840e+01   2.7676e+01   3.3089e+00   7.1895e-01   4.6045e-03   3.2640e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.1840e-01   4.5636e-03   1.0353e+08   5.2169e+08
  8.3204e+01   8.9092e+01   4.4778e+00   7.1790e-01   4.6035e-03   3.2619e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   7.1804e-01   4.6228e-03   1.0131e+09   5.1048e+09
