## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00   1.5366e-01   1.0697e-03   2.9837e+04   2.0593e+05
  2.4037e-01   2.5682e-01  -1.3719e+00   1.4540e-01   1.6178e-03   9.4302e+04   6.5087e+05
  4.3133e-01   4.6043e-01  -7.8756e-01   1.4668e-01   1.0641e-03   2.9871e+05   2.0617e+06
  7.7400e-01   8.2606e-01  -2.0240e-01   1.4681e-01   2.9991e-04   9.4217e+05   6.5028e+06
  1.3889e+00   1.4841e+00   3.8382e-01   1.4712e-01   2.6942e-04   2.9781e+06   2.0555e+07
  2.4922e+00   2.6666e+00   9.6988e-01   1.4711e-01   2.4377e-04   9.3949e+06   6.4843e+07
  4.4721e+00   4.7891e+00   1.5553e+00   1.4716e-01   2.4909e-04   2.9762e+07   2.0542e+08
  8.0249e+00   8.5988e+00   2.1404e+00   1.4706e-01   2.0653e-04   9.4645e+07   6.5324e+08
  1.4400e+01   1.5432e+01   2.7249e+00   1.4699e-01   2.1513e-04   3.0083e+08   2.0763e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.4706e-01   2.2177e-04   9.5596e+08   6.5980e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.4700e-01   2.1749e-04   3.0273e+09   2.0894e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.4702e-01   2.0532e-04   9.5383e+09   6.5833e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.4705e-01   1.8529e-04   2.9603e+10   2.0432e+11
