## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00  -7.3787e-02   1.8420e-02   5.4207e+02   3.7450e+03
  2.4037e-01   2.5734e-01  -1.3702e+00  -5.0255e-03   8.0451e-03   2.3012e+03   1.5898e+04
  4.3133e-01   4.6141e-01  -7.8619e-01  -2.1508e-04   6.5363e-03   7.3790e+03   5.0979e+04
  7.7400e-01   8.2760e-01  -2.0166e-01   8.0889e-03   2.6248e-03   2.2976e+04   1.5873e+05
  1.3889e+00   1.4837e+00   3.8250e-01   9.5268e-04   1.1583e-03   7.2897e+04   5.0362e+05
  2.4922e+00   2.6631e+00   9.6781e-01   1.2987e-05   1.0193e-03   2.3121e+05   1.5974e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.8049e-04   7.0774e-04   7.3680e+05   5.0903e+06
  8.0249e+00   8.5906e+00   2.1392e+00  -1.6778e-04   7.5728e-04   2.3515e+06   1.6246e+07
  1.4400e+01   1.5422e+01   2.7242e+00   2.6867e-04   5.2447e-04   7.4931e+06   5.1767e+07
  2.5840e+01   2.7676e+01   3.3089e+00   2.8327e-04   7.8251e-04   2.3841e+07   1.6471e+08
  4.6368e+01   4.9664e+01   3.8935e+00  -5.6743e-06   7.1381e-04   7.5618e+07   5.2242e+08
  8.3204e+01   8.9093e+01   4.4778e+00  -1.5098e-04   5.4523e-04   2.3825e+08   1.6460e+09
  1.4930e+02   1.5978e+02   5.0618e+00   3.2356e-04   4.3810e-04   7.3994e+08   5.1120e+09
