## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4348e-01  -1.9545e+00   1.4011e-01   1.1398e-02   3.0970e+03   2.1396e+04
  2.4037e-01   2.5726e-01  -1.3705e+00   1.3710e-01   8.4218e-03   9.8968e+03   6.8374e+04
  4.3133e-01   4.6128e-01  -7.8638e-01   1.3721e-01   8.9256e-03   3.1121e+04   2.1500e+05
  7.7400e-01   8.2650e-01  -2.0274e-01   1.3557e-01   7.0687e-03   9.8155e+04   6.7812e+05
  1.3889e+00   1.4827e+00   3.8219e-01   1.3564e-01   7.3233e-03   3.0915e+05   2.1358e+06
  2.4922e+00   2.6627e+00   9.6805e-01   1.3561e-01   6.9956e-03   9.7619e+05   6.7442e+06
  4.4721e+00   4.7849e+00   1.5543e+00   1.3522e-01   7.2242e-03   3.0990e+06   2.1410e+07
  8.0249e+00   8.5933e+00   2.1398e+00   1.3571e-01   7.3251e-03   9.8660e+06   6.8161e+07
  1.4400e+01   1.5425e+01   2.7246e+00   1.3549e-01   7.2911e-03   3.1391e+07   2.1687e+08
  2.5840e+01   2.7688e+01   3.3093e+00   1.3545e-01   7.2585e-03   9.9746e+07   6.8911e+08
  4.6368e+01   4.9677e+01   3.8938e+00   1.3500e-01   7.1587e-03   3.1611e+08   2.1839e+09
  8.3204e+01   8.9116e+01   4.4780e+00   1.3446e-01   7.1083e-03   9.9651e+08   6.8846e+09
  1.4930e+02   1.5981e+02   5.0620e+00   1.3346e-01   7.0544e-03   3.0962e+09   2.1391e+10
