## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4332e-01  -1.9555e+00   1.4575e-01   1.1947e-03   1.2310e+05   8.4965e+05
  2.4037e-01   2.5688e-01  -1.3716e+00   1.4577e-01   8.0229e-04   3.9151e+05   2.7022e+06
  4.3133e-01   4.6045e-01  -7.8749e-01   1.4703e-01   4.6003e-04   1.2396e+06   8.5558e+06
  7.7400e-01   8.2633e-01  -2.0214e-01   1.4738e-01   2.4433e-04   3.9144e+06   2.7017e+07
  1.3889e+00   1.4846e+00   3.8401e-01   1.4699e-01   2.2055e-04   1.2369e+07   8.5368e+07
  2.4922e+00   2.6672e+00   9.6990e-01   1.4710e-01   2.2067e-04   3.9042e+07   2.6946e+08
  4.4721e+00   4.7896e+00   1.5552e+00   1.4709e-01   1.9008e-04   1.2371e+08   8.5384e+08
  8.0249e+00   8.5991e+00   2.1401e+00   1.4706e-01   1.9608e-04   3.9336e+08   2.7150e+09
  1.4400e+01   1.5431e+01   2.7246e+00   1.4706e-01   1.9534e-04   1.2510e+09   8.6347e+09
  2.5840e+01   2.7687e+01   3.3091e+00   1.4708e-01   2.0632e-04   3.9747e+09   2.7434e+10
  4.6368e+01   4.9684e+01   3.8938e+00   1.4704e-01   2.0450e-04   1.2607e+10   8.7013e+10
  8.3204e+01   8.9126e+01   4.4781e+00   1.4704e-01   1.9393e-04   3.9727e+10   2.7419e+11
  1.4930e+02   1.5979e+02   5.0618e+00   1.4705e-01   1.8204e-04   1.2334e+11   8.5128e+11
