## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   6.6327e-02   2.1451e-02   5.4207e+02   3.7450e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   1.3207e-01   8.5476e-03   2.3012e+03   1.5898e+04
  4.3133e-01   4.6141e-01  -7.8619e-01   1.3699e-01   8.0729e-03   7.3790e+03   5.0979e+04
  7.7400e-01   8.2760e-01  -2.0166e-01   1.4366e-01   6.8320e-03   2.2976e+04   1.5873e+05
  1.3889e+00   1.4837e+00   3.8250e-01   1.3660e-01   7.4574e-03   7.2897e+04   5.0362e+05
  2.4922e+00   2.6631e+00   9.6781e-01   1.3562e-01   7.0410e-03   2.3121e+05   1.5974e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.3540e-01   7.1203e-03   7.3680e+05   5.0903e+06
  8.0249e+00   8.5906e+00   2.1392e+00   1.3554e-01   6.8232e-03   2.3515e+06   1.6246e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.3576e-01   6.8968e-03   7.4931e+06   5.1767e+07
  2.5840e+01   2.7676e+01   3.3089e+00   1.3573e-01   6.5674e-03   2.3841e+07   1.6471e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.3500e-01   6.5593e-03   7.5618e+07   5.2242e+08
  8.3204e+01   8.9093e+01   4.4778e+00   1.3431e-01   6.6238e-03   2.3825e+08   1.6460e+09
  1.4930e+02   1.5978e+02   5.0618e+00   1.3378e-01   6.6676e-03   7.3994e+08   5.1120e+09
