## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00   1.4311e-01   4.6716e-04   8.0865e+03   2.0554e+05
  2.4037e-01   2.5683e-01  -1.3719e+00   1.4204e-01   1.4898e-04   2.5561e+04   6.4969e+05
  4.3133e-01   4.6043e-01  -7.8756e-01   1.4234e-01   1.1761e-04   8.0942e+04   2.0573e+06
  7.7400e-01   8.2605e-01  -2.0241e-01   1.4248e-01   3.2840e-05   2.5534e+05   6.4901e+06
  1.3889e+00   1.4840e+00   3.8380e-01   1.4252e-01   3.0689e-05   8.0711e+05   2.0515e+07
  2.4922e+00   2.6666e+00   9.6988e-01   1.4248e-01   2.6980e-05   2.5462e+06   6.4717e+07
  4.4721e+00   4.7891e+00   1.5553e+00   1.4247e-01   3.0257e-05   8.0661e+06   2.0502e+08
  8.0249e+00   8.5987e+00   2.1404e+00   1.4248e-01   3.0587e-05   2.5650e+07   6.5195e+08
  1.4400e+01   1.5432e+01   2.7249e+00   1.4248e-01   2.4082e-05   8.1532e+07   2.0723e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.4249e-01   2.6454e-05   2.5908e+08   6.5851e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.4248e-01   2.0954e-05   8.2044e+08   2.0853e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.4248e-01   2.0214e-05   2.5850e+09   6.5704e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.4248e-01   1.9628e-05   8.0231e+09   2.0392e+11
