## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9555e+00   1.4376e-01   9.9469e-04   8.4716e+03   2.1281e+05
  2.4037e-01   2.5680e-01  -1.3718e+00   1.4347e-01   8.7737e-04   2.6966e+04   6.7740e+05
  4.3133e-01   4.6032e-01  -7.8752e-01   1.4332e-01   1.0153e-03   8.5368e+04   2.1445e+06
  7.7400e-01   8.2634e-01  -2.0188e-01   1.4325e-01   1.0317e-03   2.7002e+05   6.7830e+06
  1.3889e+00   1.4847e+00   3.8430e-01   1.4319e-01   9.6531e-04   8.5260e+05   2.1417e+07
  2.4922e+00   2.6671e+00   9.7018e-01   1.4326e-01   9.9323e-04   2.6915e+06   6.7611e+07
  4.4721e+00   4.7899e+00   1.5556e+00   1.4325e-01   1.0180e-03   8.5293e+06   2.1426e+08
  8.0249e+00   8.5999e+00   2.1406e+00   1.4322e-01   1.0094e-03   2.7127e+07   6.8144e+08
  1.4400e+01   1.5433e+01   2.7251e+00   1.4326e-01   9.9725e-04   8.6242e+07   2.1664e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.4325e-01   1.0039e-03   2.7408e+08   6.8849e+09
  4.6368e+01   4.9689e+01   3.8939e+00   1.4322e-01   9.8907e-04   8.6819e+08   2.1809e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.4318e-01   9.8032e-04   2.7366e+09   6.8743e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.4310e-01   9.5320e-04   8.5004e+09   2.1353e+11
