## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4811e-01  -1.9213e+00   4.0076e-01   2.6270e-02   7.4362e+02   3.7270e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   1.1528e-01   8.7879e-03   3.1638e+03   1.5857e+04
  4.3133e-01   4.6145e-01  -7.8612e-01   2.3456e-02   4.3178e-03   1.0154e+04   5.0890e+04
  7.7400e-01   8.2758e-01  -2.0167e-01   1.3377e-02   1.4648e-03   3.1602e+04   1.5839e+05
  1.3889e+00   1.4838e+00   3.8256e-01   6.8330e-03   2.3697e-03   1.0032e+05   5.0281e+05
  2.4922e+00   2.6632e+00   9.6785e-01   3.7433e-03   8.2792e-04   3.1806e+05   1.5941e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.9245e-03   5.2903e-04   1.0137e+06   5.0806e+06
  8.0249e+00   8.5905e+00   2.1392e+00   1.6451e-03   3.8247e-04   3.2349e+06   1.6213e+07
  1.4400e+01   1.5422e+01   2.7242e+00   9.3606e-04   4.4821e-04   1.0308e+07   5.1666e+07
  2.5840e+01   2.7676e+01   3.3089e+00   5.4669e-04   6.2120e-04   3.2800e+07   1.6439e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.8022e-05   5.2453e-04   1.0403e+08   5.2139e+08
  8.3204e+01   8.9092e+01   4.4778e+00  -1.5572e-04   3.8078e-04   3.2776e+08   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00   3.6349e-04   2.8138e-04   1.0180e+09   5.1020e+09
