## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9555e+00   7.2069e-01   5.0123e-03   4.2464e+04   2.1283e+05
  2.4037e-01   2.5681e-01  -1.3718e+00   7.1897e-01   4.3510e-03   1.3517e+05   6.7745e+05
  4.3133e-01   4.6030e-01  -7.8757e-01   7.1858e-01   5.0010e-03   4.2776e+05   2.1439e+06
  7.7400e-01   8.2631e-01  -2.0192e-01   7.1786e-01   5.2178e-03   1.3534e+06   6.7833e+06
  1.3889e+00   1.4847e+00   3.8431e-01   7.1762e-01   4.8404e-03   4.2735e+06   2.1419e+07
  2.4922e+00   2.6671e+00   9.7018e-01   7.1788e-01   5.0055e-03   1.3489e+07   6.7607e+07
  4.4721e+00   4.7899e+00   1.5555e+00   7.1799e-01   5.0961e-03   4.2748e+07   2.1425e+08
  8.0249e+00   8.5998e+00   2.1406e+00   7.1785e-01   5.0598e-03   1.3596e+08   6.8143e+08
  1.4400e+01   1.5433e+01   2.7251e+00   7.1801e-01   4.9995e-03   4.3224e+08   2.1664e+09
  2.5840e+01   2.7698e+01   3.3096e+00   7.1798e-01   5.0303e-03   1.3737e+09   6.8850e+09
  4.6368e+01   4.9689e+01   3.8939e+00   7.1783e-01   4.9537e-03   4.3513e+09   2.1809e+10
  8.3204e+01   8.9128e+01   4.4781e+00   7.1759e-01   4.9201e-03   1.3716e+10   6.8743e+10
  1.4930e+02   1.5981e+02   5.0620e+00   7.1723e-01   4.7791e-03   4.2605e+10   2.1354e+11
