## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4320e-01  -1.9562e+00   7.1785e-01   3.4726e-04   1.6794e+06   8.4666e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   7.1838e-01   1.5137e-04   5.3450e+06   2.6947e+07
  4.3133e-01   4.6069e-01  -7.8668e-01   7.1818e-01   2.0402e-04   1.6982e+07   8.5616e+07
  7.7400e-01   8.2740e-01  -2.0089e-01   7.1818e-01   1.2750e-04   5.3693e+07   2.7070e+08
  1.3889e+00   1.4859e+00   3.8458e-01   7.1828e-01   1.1955e-04   1.6922e+08   8.5315e+08
  2.4922e+00   2.6681e+00   9.6982e-01   7.1830e-01   9.9469e-05   5.3356e+08   2.6900e+09
  4.4721e+00   4.7901e+00   1.5549e+00   7.1839e-01   1.0140e-04   1.6902e+09   8.5214e+09
  8.0249e+00   8.5982e+00   2.1398e+00   7.1833e-01   1.0843e-04   5.3754e+09   2.7100e+10
  1.4400e+01   1.5428e+01   2.7244e+00   7.1834e-01   1.0609e-04   1.7097e+10   8.6194e+10
  2.5840e+01   2.7689e+01   3.3092e+00   7.1832e-01   1.0010e-04   5.4344e+10   2.7398e+11
  4.6368e+01   4.9683e+01   3.8937e+00   7.1831e-01   9.8461e-05   1.7224e+11   8.6835e+11
  8.3204e+01   8.9129e+01   4.4781e+00   7.1832e-01   9.7063e-05   5.4306e+11   2.7379e+12
  1.4930e+02   1.5978e+02   5.0617e+00   7.1832e-01   9.5832e-05   1.6850e+12   8.4949e+12
