## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4811e-01  -1.9213e+00   1.1214e+00   2.5204e-02   7.4362e+02   3.7270e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   8.3425e-01   1.0066e-02   3.1638e+03   1.5857e+04
  4.3133e-01   4.6145e-01  -7.8612e-01   7.4204e-01   6.3503e-03   1.0154e+04   5.0890e+04
  7.7400e-01   8.2758e-01  -2.0167e-01   7.3124e-01   5.0392e-03   3.1602e+04   1.5839e+05
  1.3889e+00   1.4838e+00   3.8256e-01   7.2446e-01   6.4237e-03   1.0032e+05   5.0281e+05
  2.4922e+00   2.6632e+00   9.6785e-01   7.2162e-01   4.9790e-03   3.1806e+05   1.5941e+06
  4.4721e+00   4.7831e+00   1.5536e+00   7.1992e-01   5.0690e-03   1.0137e+06   5.0806e+06
  8.0249e+00   8.5905e+00   2.1392e+00   7.1949e-01   4.7359e-03   3.2349e+06   1.6213e+07
  1.4400e+01   1.5422e+01   2.7242e+00   7.1894e-01   4.7541e-03   1.0308e+07   5.1666e+07
  2.5840e+01   2.7676e+01   3.3089e+00   7.1853e-01   4.6165e-03   3.2800e+07   1.6439e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.1791e-01   4.5699e-03   1.0403e+08   5.2139e+08
  8.3204e+01   8.9092e+01   4.4778e+00   7.1744e-01   4.6122e-03   3.2776e+08   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00   7.1759e-01   4.6349e-03   1.0180e+09   5.1020e+09
