## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8542e-01  -1.2663e+00   1.1330e-01   8.0563e-03   1.2661e+03   1.0031e+04
  4.7427e-01   5.0571e-01  -6.9417e-01   3.4160e-02   5.8261e-03   3.9387e+03   3.1207e+04
  8.4339e-01   8.9953e-01  -1.1807e-01   1.3534e-02   3.0503e-03   1.2050e+04   9.5551e+04
  1.4998e+00   1.5989e+00   4.5747e-01   2.8707e-03   1.4384e-03   3.7328e+04   2.9610e+05
  2.6670e+00   2.8441e+00   1.0338e+00   4.1923e-03   1.5111e-03   1.1575e+05   9.1809e+05
  4.7427e+00   5.0606e+00   1.6104e+00   2.5124e-03   6.1670e-04   3.6065e+05   2.8607e+06
  8.4339e+00   9.0084e+00   2.1872e+00   2.7184e-03   4.5968e-04   1.1286e+06   8.9527e+06
  1.4998e+01   1.6028e+01   2.7633e+00   1.5618e-03   4.4734e-04   3.5309e+06   2.8010e+07
  2.6670e+01   2.8511e+01   3.3391e+00   1.3337e-03   4.1634e-04   1.1019e+07   8.7415e+07
  4.7427e+01   5.0705e+01   3.9146e+00   1.0859e-03   3.7859e-04   3.4283e+07   2.7197e+08
  8.4339e+01   9.0122e+01   4.4897e+00   1.0460e-03   3.1619e-04   1.0590e+08   8.4021e+08
  1.4998e+02   1.6017e+02   5.0646e+00   1.0497e-03   2.8654e-04   3.2228e+08   2.5569e+09
