## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8419e-01  -1.2697e+00  -8.6133e-01   1.0540e-04   4.6124e+07   1.1042e+08
  4.7427e-01   5.0596e-01  -6.9250e-01  -8.6149e-01   7.3785e-05   1.4358e+08   3.4373e+08
  8.4339e-01   9.0048e-01  -1.1602e-01  -8.6143e-01   7.6539e-05   4.4509e+08   1.0656e+09
  1.4998e+00   1.6019e+00   4.5995e-01  -8.6146e-01   8.4126e-05   1.3767e+09   3.2959e+09
  2.6670e+00   2.8501e+00   1.0360e+00  -8.6143e-01   8.8953e-05   4.2660e+09   1.0213e+10
  4.7427e+00   5.0701e+00   1.6120e+00  -8.6145e-01   8.0803e-05   1.3282e+10   3.1798e+10
  8.4339e+00   9.0194e+00   2.1879e+00  -8.6145e-01   8.2190e-05   4.1505e+10   9.9366e+10
  1.4998e+01   1.6039e+01   2.7635e+00  -8.6144e-01   7.7187e-05   1.2966e+11   3.1041e+11
  2.6670e+01   2.8519e+01   3.3390e+00  -8.6144e-01   7.4769e-05   4.0443e+11   9.6824e+11
  4.7427e+01   5.0719e+01   3.9147e+00  -8.6145e-01   7.1260e-05   1.2604e+12   3.0175e+12
  8.4339e+01   9.0156e+01   4.4899e+00  -8.6145e-01   7.6649e-05   3.8983e+12   9.3329e+12
  1.4998e+02   1.6022e+02   5.0648e+00  -8.6145e-01   8.5972e-05   1.1905e+13   2.8502e+13
