## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8542e-01  -1.2663e+00   4.6111e-01   8.1533e-03   1.2661e+03   1.0031e+04
  4.7427e-01   5.0571e-01  -6.9417e-01   3.8239e-01   6.0421e-03   3.9387e+03   3.1207e+04
  8.4339e-01   8.9953e-01  -1.1807e-01   3.6123e-01   4.3884e-03   1.2050e+04   9.5551e+04
  1.4998e+00   1.5989e+00   4.5747e-01   3.5074e-01   4.3771e-03   3.7328e+04   2.9610e+05
  2.6670e+00   2.8441e+00   1.0338e+00   3.5209e-01   4.0918e-03   1.1575e+05   9.1809e+05
  4.7427e+00   5.0606e+00   1.6104e+00   3.5035e-01   3.6657e-03   3.6065e+05   2.8607e+06
  8.4339e+00   9.0084e+00   2.1872e+00   3.5055e-01   3.3440e-03   1.1286e+06   8.9527e+06
  1.4998e+01   1.6028e+01   2.7633e+00   3.4950e-01   3.3255e-03   3.5309e+06   2.8010e+07
  2.6670e+01   2.8511e+01   3.3391e+00   3.4922e-01   3.3354e-03   1.1019e+07   8.7415e+07
  4.7427e+01   5.0705e+01   3.9146e+00   3.4875e-01   3.2902e-03   3.4283e+07   2.7197e+08
  8.4339e+01   9.0122e+01   4.4897e+00   3.4838e-01   3.2450e-03   1.0590e+08   8.4021e+08
  1.4998e+02   1.6017e+02   5.0646e+00   3.4803e-01   3.1900e-03   3.2228e+08   2.5569e+09
