## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8416e-01  -1.2702e+00   3.8634e-01   1.5229e-03   5.5224e+04   4.0097e+05
  4.7427e-01   5.0545e-01  -6.9360e-01   3.8351e-01   9.3874e-04   1.7171e+05   1.2473e+06
  8.4339e-01   8.9897e-01  -1.1722e-01   3.8491e-01   7.9892e-04   5.3117e+05   3.8580e+06
  1.4998e+00   1.6002e+00   4.5973e-01   3.8377e-01   2.5205e-04   1.6472e+06   1.1966e+07
  2.6670e+00   2.8490e+00   1.0366e+00   3.8351e-01   2.5338e-04   5.1002e+06   3.7052e+07
  4.7427e+00   5.0698e+00   1.6128e+00   3.8354e-01   1.8992e-04   1.5871e+07   1.1530e+08
  8.4339e+00   9.0207e+00   2.1888e+00   3.8360e-01   1.3198e-04   4.9574e+07   3.6013e+08
  1.4998e+01   1.6042e+01   2.7643e+00   3.8354e-01   1.1900e-04   1.5468e+08   1.1237e+09
  2.6670e+01   2.8528e+01   3.3397e+00   3.8359e-01   1.3733e-04   4.8231e+08   3.5038e+09
  4.7427e+01   5.0728e+01   3.9151e+00   3.8363e-01   1.2952e-04   1.4995e+09   1.0893e+10
  8.4339e+01   9.0162e+01   4.4901e+00   3.8362e-01   1.2106e-04   4.6315e+09   3.3646e+10
  1.4998e+02   1.6019e+02   5.0647e+00   3.8360e-01   1.0847e-04   1.4090e+10   1.0236e+11
