## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8403e-01  -1.2704e+00   2.8486e-01   3.0258e-03   2.5864e+05   2.1615e+06
  4.7427e-01   5.0519e-01  -6.9380e-01   2.8624e-01   3.1257e-03   8.0477e+05   6.7251e+06
  8.4339e-01   8.9943e-01  -1.1661e-01   2.8529e-01   3.2106e-03   2.5042e+06   2.0925e+07
  1.4998e+00   1.6011e+00   4.6019e-01   2.8596e-01   3.2875e-03   7.7693e+06   6.4921e+07
  2.6670e+00   2.8497e+00   1.0366e+00   2.8577e-01   3.3005e-03   2.4091e+07   2.0131e+08
  4.7427e+00   5.0711e+00   1.6128e+00   2.8573e-01   3.2201e-03   7.5046e+07   6.2710e+08
  8.4339e+00   9.0215e+00   2.1886e+00   2.8584e-01   3.1908e-03   2.3453e+08   1.9598e+09
  1.4998e+01   1.6043e+01   2.7640e+00   2.8594e-01   3.1834e-03   7.3276e+08   6.1234e+09
  2.6670e+01   2.8531e+01   3.3395e+00   2.8583e-01   3.1771e-03   2.2897e+09   1.9135e+10
  4.7427e+01   5.0730e+01   3.9150e+00   2.8572e-01   3.1524e-03   7.1456e+09   5.9714e+10
  8.4339e+01   9.0191e+01   4.4903e+00   2.8564e-01   3.1145e-03   2.2232e+10   1.8579e+11
  1.4998e+02   1.6032e+02   5.0655e+00   2.8555e-01   3.0567e-03   6.8529e+10   5.7267e+11
