## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8416e-01  -1.2702e+00  -8.8902e-01   1.3376e-03   1.7686e+05   4.0006e+05
  4.7427e-01   5.0544e-01  -6.9359e-01  -8.8825e-01   8.7015e-04   5.5010e+05   1.2442e+06
  8.4339e-01   8.9900e-01  -1.1716e-01  -8.8892e-01   4.4493e-04   1.7015e+06   3.8489e+06
  1.4998e+00   1.6002e+00   4.5970e-01  -8.8768e-01   1.9507e-04   5.2761e+06   1.1935e+07
  2.6670e+00   2.8488e+00   1.0365e+00  -8.8811e-01   2.0509e-04   1.6340e+07   3.6967e+07
  4.7427e+00   5.0703e+00   1.6129e+00  -8.8805e-01   1.1150e-04   5.0856e+07   1.1505e+08
  8.4339e+00   9.0209e+00   2.1888e+00  -8.8814e-01   1.0799e-04   1.5881e+08   3.5927e+08
  1.4998e+01   1.6041e+01   2.7642e+00  -8.8819e-01   1.3113e-04   4.9538e+08   1.1207e+09
  2.6670e+01   2.8529e+01   3.3397e+00  -8.8822e-01   1.1426e-04   1.5457e+09   3.4968e+09
  4.7427e+01   5.0727e+01   3.9151e+00  -8.8818e-01   1.0080e-04   4.8031e+09   1.0866e+10
  8.4339e+01   9.0166e+01   4.4901e+00  -8.8821e-01   1.0812e-04   1.4840e+10   3.3572e+10
  1.4998e+02   1.6019e+02   5.0647e+00  -8.8819e-01   1.0772e-04   4.5135e+10   1.0211e+11
