## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8540e-01  -1.2664e+00   1.1052e-01   5.5141e-03   1.3859e+03   1.0028e+04
  4.7427e-01   5.0570e-01  -6.9421e-01   3.2953e-02   5.3317e-03   4.3048e+03   3.1214e+04
  8.4339e-01   8.9971e-01  -1.1788e-01   1.1881e-02   3.2268e-03   1.3186e+04   9.5625e+04
  1.4998e+00   1.5990e+00   4.5751e-01   4.3537e-03   1.6326e-03   4.0805e+04   2.9600e+05
  2.6670e+00   2.8442e+00   1.0338e+00   4.0859e-03   1.5399e-03   1.2661e+05   9.1833e+05
  4.7427e+00   5.0610e+00   1.6105e+00   2.1432e-03   8.7542e-04   3.9443e+05   2.8611e+06
  8.4339e+00   9.0084e+00   2.1872e+00   2.4945e-03   7.9447e-04   1.2342e+06   8.9519e+06
  1.4998e+01   1.6027e+01   2.7633e+00   1.7729e-03   5.9568e-04   3.8610e+06   2.8009e+07
  2.6670e+01   2.8512e+01   3.3391e+00   1.3360e-03   4.6740e-04   1.2052e+07   8.7426e+07
  4.7427e+01   5.0705e+01   3.9146e+00   1.0939e-03   5.1514e-04   3.7490e+07   2.7195e+08
  8.4339e+01   9.0125e+01   4.4897e+00   1.0387e-03   3.4933e-04   1.1582e+08   8.4023e+08
  1.4998e+02   1.6016e+02   5.0646e+00   1.0270e-03   3.4891e-04   3.5239e+08   2.5566e+09
