## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8402e-01  -1.2704e+00   3.0385e-01   3.3855e-03   3.8201e+05   2.7713e+06
  4.7427e-01   5.0519e-01  -6.9381e-01   3.0420e-01   3.3965e-03   1.1885e+06   8.6214e+06
  8.4339e-01   8.9940e-01  -1.1664e-01   3.0333e-01   3.3224e-03   3.6914e+06   2.6778e+07
  1.4998e+00   1.6011e+00   4.6014e-01   3.0390e-01   3.2961e-03   1.1447e+07   8.3036e+07
  2.6670e+00   2.8496e+00   1.0366e+00   3.0373e-01   3.3447e-03   3.5464e+07   2.5727e+08
  4.7427e+00   5.0712e+00   1.6128e+00   3.0367e-01   3.3041e-03   1.1045e+08   8.0124e+08
  8.4339e+00   9.0216e+00   2.1886e+00   3.0362e-01   3.3030e-03   3.4503e+08   2.5029e+09
  1.4998e+01   1.6043e+01   2.7640e+00   3.0373e-01   3.2943e-03   1.0774e+09   7.8155e+09
  2.6670e+01   2.8529e+01   3.3394e+00   3.0367e-01   3.3089e-03   3.3628e+09   2.4395e+10
  4.7427e+01   5.0720e+01   3.9148e+00   3.0346e-01   3.3096e-03   1.0465e+10   7.5919e+10
  8.4339e+01   9.0158e+01   4.4899e+00   3.0317e-01   3.2937e-03   3.2386e+10   2.3495e+11
  1.4998e+02   1.6021e+02   5.0648e+00   3.0283e-01   3.3192e-03   9.8816e+10   7.1689e+11
