## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8418e-01  -1.2698e+00  -8.8805e-01   1.1545e-04   4.8810e+07   1.1042e+08
  4.7427e-01   5.0595e-01  -6.9250e-01  -8.8828e-01   9.3550e-05   1.5195e+08   3.4373e+08
  8.4339e-01   9.0050e-01  -1.1600e-01  -8.8820e-01   9.7322e-05   4.7105e+08   1.0656e+09
  1.4998e+00   1.6019e+00   4.5993e-01  -8.8824e-01   1.0535e-04   1.4568e+09   3.2956e+09
  2.6670e+00   2.8502e+00   1.0361e+00  -8.8821e-01   1.1174e-04   4.5151e+09   1.0214e+10
  4.7427e+00   5.0700e+00   1.6120e+00  -8.8822e-01   1.1126e-04   1.4053e+10   3.1792e+10
  8.4339e+00   9.0189e+00   2.1878e+00  -8.8822e-01   1.0772e-04   4.3918e+10   9.9354e+10
  1.4998e+01   1.6037e+01   2.7634e+00  -8.8821e-01   1.0464e-04   1.3716e+11   3.1028e+11
  2.6670e+01   2.8523e+01   3.3391e+00  -8.8822e-01   1.0264e-04   4.2836e+11   9.6905e+11
  4.7427e+01   5.0717e+01   3.9146e+00  -8.8822e-01   1.0350e-04   1.3330e+12   3.0155e+12
  8.4339e+01   9.0165e+01   4.4900e+00  -8.8823e-01   1.0799e-04   4.1286e+12   9.3399e+12
  1.4998e+02   1.6018e+02   5.0646e+00  -8.8822e-01   1.0436e-04   1.2582e+13   2.8462e+13
