## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8540e-01  -1.2664e+00   4.1437e-01   4.7529e-03   1.3859e+03   1.0028e+04
  4.7427e-01   5.0570e-01  -6.9421e-01   3.3715e-01   5.8168e-03   4.3048e+03   3.1214e+04
  8.4339e-01   8.9971e-01  -1.1788e-01   3.1521e-01   2.8688e-03   1.3186e+04   9.5625e+04
  1.4998e+00   1.5990e+00   4.5751e-01   3.0825e-01   4.5037e-03   4.0805e+04   2.9600e+05
  2.6670e+00   2.8442e+00   1.0338e+00   3.0781e-01   4.4525e-03   1.2661e+05   9.1833e+05
  4.7427e+00   5.0610e+00   1.6105e+00   3.0581e-01   3.6375e-03   3.9443e+05   2.8611e+06
  8.4339e+00   9.0084e+00   2.1872e+00   3.0611e-01   3.4490e-03   1.2342e+06   8.9519e+06
  1.4998e+01   1.6027e+01   2.7633e+00   3.0550e-01   3.3941e-03   3.8610e+06   2.8009e+07
  2.6670e+01   2.8512e+01   3.3391e+00   3.0500e-01   3.4102e-03   1.2052e+07   8.7426e+07
  4.7427e+01   5.0705e+01   3.9146e+00   3.0455e-01   3.3197e-03   3.7490e+07   2.7195e+08
  8.4339e+01   9.0125e+01   4.4897e+00   3.0421e-01   3.3106e-03   1.1582e+08   8.4023e+08
  1.4998e+02   1.6016e+02   5.0646e+00   3.0385e-01   3.3265e-03   3.5239e+08   2.5566e+09
