## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8414e-01  -1.2703e+00  -1.0279e+00   1.5751e-03   1.4515e+05   3.8226e+05
  4.7427e-01   5.0543e-01  -6.9366e-01  -1.0269e+00   9.2237e-04   4.5170e+05   1.1894e+06
  8.4339e-01   8.9901e-01  -1.1718e-01  -1.0274e+00   5.3532e-04   1.3972e+06   3.6800e+06
  1.4998e+00   1.6003e+00   4.5973e-01  -1.0263e+00   2.1279e-04   4.3330e+06   1.1412e+07
  2.6670e+00   2.8489e+00   1.0366e+00  -1.0264e+00   2.0396e-04   1.3419e+07   3.5346e+07
  4.7427e+00   5.0703e+00   1.6129e+00  -1.0264e+00   1.4601e-04   4.1762e+07   1.1000e+08
  8.4339e+00   9.0210e+00   2.1888e+00  -1.0265e+00   1.4044e-04   1.3041e+08   3.4351e+08
  1.4998e+01   1.6041e+01   2.7642e+00  -1.0265e+00   1.1019e-04   4.0679e+08   1.0715e+09
  2.6670e+01   2.8529e+01   3.3397e+00  -1.0265e+00   1.0811e-04   1.2693e+09   3.3433e+09
  4.7427e+01   5.0727e+01   3.9151e+00  -1.0265e+00   9.5651e-05   3.9443e+09   1.0389e+10
  8.4339e+01   9.0166e+01   4.4901e+00  -1.0265e+00   1.0525e-04   1.2186e+10   3.2099e+10
  1.4998e+02   1.6019e+02   5.0647e+00  -1.0265e+00   1.0272e-04   3.7064e+10   9.7625e+10
