## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8542e-01  -1.2663e+00   1.1027e-01   1.1837e-02   9.7349e+02   9.4270e+03
  4.7427e-01   5.0569e-01  -6.9427e-01   4.0666e-02   5.8419e-03   3.0439e+03   2.9390e+04
  8.4339e-01   8.9971e-01  -1.1790e-01   6.3983e-03   2.9127e-03   9.3019e+03   8.9866e+04
  1.4998e+00   1.5989e+00   4.5741e-01   2.6110e-03   1.3268e-03   2.8850e+04   2.7851e+05
  2.6670e+00   2.8441e+00   1.0338e+00   3.5477e-03   1.3135e-03   8.9578e+04   8.6430e+05
  4.7427e+00   5.0611e+00   1.6105e+00   2.8720e-03   1.1776e-03   2.7912e+05   2.6925e+06
  8.4339e+00   9.0085e+00   2.1872e+00   2.7274e-03   7.6509e-04   8.7368e+05   8.4272e+06
  1.4998e+01   1.6027e+01   2.7633e+00   1.7791e-03   6.4167e-04   2.7338e+06   2.6370e+07
  2.6670e+01   2.8511e+01   3.3391e+00   1.6653e-03   5.9079e-04   8.5347e+06   8.2311e+07
  4.7427e+01   5.0704e+01   3.9146e+00   1.1166e-03   6.6191e-04   2.6551e+07   2.5608e+08
  8.4339e+01   9.0125e+01   4.4897e+00   9.4080e-04   5.0365e-04   8.2030e+07   7.9116e+08
  1.4998e+02   1.6016e+02   5.0646e+00   1.0931e-03   3.6791e-04   2.4961e+08   2.4072e+09
