## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8401e-01  -1.2704e+00   7.9174e-02   3.8637e-03   2.7074e+05   2.6101e+06
  4.7427e-01   5.0517e-01  -6.9385e-01   7.9363e-02   3.9633e-03   8.4205e+05   8.1191e+06
  8.4339e-01   8.9939e-01  -1.1665e-01   7.8997e-02   3.9153e-03   2.6158e+06   2.5217e+07
  1.4998e+00   1.6011e+00   4.6015e-01   7.8915e-02   3.9747e-03   8.1113e+06   7.8197e+07
  2.6670e+00   2.8496e+00   1.0366e+00   7.8891e-02   4.0208e-03   2.5131e+07   2.4229e+08
  4.7427e+00   5.0711e+00   1.6128e+00   7.8840e-02   3.9611e-03   7.8271e+07   7.5456e+08
  8.4339e+00   9.0215e+00   2.1886e+00   7.8867e-02   4.0276e-03   2.4448e+08   2.3569e+09
  1.4998e+01   1.6043e+01   2.7640e+00   7.8961e-02   4.0153e-03   7.6340e+08   7.3596e+09
  2.6670e+01   2.8529e+01   3.3394e+00   7.8869e-02   4.0513e-03   2.3828e+09   2.2972e+10
  4.7427e+01   5.0720e+01   3.9148e+00   7.8674e-02   4.0594e-03   7.4149e+09   7.1487e+10
  8.4339e+01   9.0158e+01   4.4899e+00   7.8402e-02   4.0953e-03   2.2948e+10   2.2123e+11
  1.4998e+02   1.6021e+02   5.0648e+00   7.8032e-02   4.1011e-03   7.0018e+10   6.7498e+11
