## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8418e-01  -1.2698e+00  -1.0265e+00   9.0240e-05   4.0079e+07   1.0556e+08
  4.7427e-01   5.0594e-01  -6.9253e-01  -1.0266e+00   9.6975e-05   1.2477e+08   3.2862e+08
  8.4339e-01   9.0048e-01  -1.1601e-01  -1.0265e+00   7.9428e-05   3.8681e+08   1.0188e+09
  1.4998e+00   1.6019e+00   4.5994e-01  -1.0266e+00   8.7934e-05   1.1963e+09   3.1510e+09
  2.6670e+00   2.8502e+00   1.0361e+00  -1.0265e+00   9.2532e-05   3.7076e+09   9.7656e+09
  4.7427e+00   5.0699e+00   1.6120e+00  -1.0265e+00   9.7952e-05   1.1540e+10   3.0396e+10
  8.4339e+00   9.0189e+00   2.1879e+00  -1.0265e+00   1.0100e-04   3.6065e+10   9.4993e+10
  1.4998e+01   1.6037e+01   2.7634e+00  -1.0265e+00   9.2493e-05   1.1263e+11   2.9666e+11
  2.6670e+01   2.8523e+01   3.3391e+00  -1.0265e+00   9.5239e-05   3.5175e+11   9.2650e+11
  4.7427e+01   5.0717e+01   3.9146e+00  -1.0265e+00   9.3644e-05   1.0946e+12   2.8832e+12
  8.4339e+01   9.0165e+01   4.4900e+00  -1.0265e+00   1.0054e-04   3.3903e+12   8.9299e+12
  1.4998e+02   1.6018e+02   5.0646e+00  -1.0265e+00   1.0292e-04   1.0332e+13   2.7213e+13
