## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8542e-01  -1.2663e+00   1.8945e-01   1.0622e-02   9.7349e+02   9.4270e+03
  4.7427e-01   5.0569e-01  -6.9427e-01   1.2003e-01   7.7687e-03   3.0439e+03   2.9390e+04
  8.4339e-01   8.9971e-01  -1.1790e-01   8.5395e-02   4.4981e-03   9.3019e+03   8.9866e+04
  1.4998e+00   1.5989e+00   4.5741e-01   8.1526e-02   4.4174e-03   2.8850e+04   2.7851e+05
  2.6670e+00   2.8441e+00   1.0338e+00   8.2439e-02   4.9968e-03   8.9578e+04   8.6430e+05
  4.7427e+00   5.0611e+00   1.6105e+00   8.1712e-02   4.4074e-03   2.7912e+05   2.6925e+06
  8.4339e+00   9.0085e+00   2.1872e+00   8.1594e-02   4.1945e-03   8.7368e+05   8.4272e+06
  1.4998e+01   1.6027e+01   2.7633e+00   8.0740e-02   4.2195e-03   2.7338e+06   2.6370e+07
  2.6670e+01   2.8511e+01   3.3391e+00   8.0534e-02   4.0801e-03   8.5347e+06   8.2311e+07
  4.7427e+01   5.0704e+01   3.9146e+00   7.9791e-02   4.0921e-03   2.6551e+07   2.5608e+08
  8.4339e+01   9.0125e+01   4.4897e+00   7.9342e-02   4.1243e-03   8.2030e+07   7.9116e+08
  1.4998e+02   1.6016e+02   5.0646e+00   7.9125e-02   4.0833e-03   2.4961e+08   2.4072e+09
