## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8425e-01  -1.2701e+00  -1.0829e+00   1.7157e-03   9.0876e+04   1.9679e+05
  4.7427e-01   5.0546e-01  -6.9389e-01  -1.0804e+00   1.2356e-03   2.8232e+05   6.1128e+05
  8.4339e-01   8.9854e-01  -1.1795e-01  -1.0818e+00   6.6095e-04   8.7279e+05   1.8898e+06
  1.4998e+00   1.5993e+00   4.5899e-01  -1.0801e+00   4.5244e-04   2.7073e+06   5.8626e+06
  2.6670e+00   2.8478e+00   1.0361e+00  -1.0807e+00   3.3224e-04   8.3864e+06   1.8161e+07
  4.7427e+00   5.0688e+00   1.6126e+00  -1.0807e+00   1.8291e-04   2.6114e+07   5.6548e+07
  8.4339e+00   9.0193e+00   2.1887e+00  -1.0807e+00   1.6400e-04   8.1554e+07   1.7660e+08
  1.4998e+01   1.6040e+01   2.7642e+00  -1.0808e+00   1.3813e-04   2.5447e+08   5.5104e+08
  2.6670e+01   2.8528e+01   3.3397e+00  -1.0808e+00   1.4393e-04   7.9405e+08   1.7195e+09
  4.7427e+01   5.0726e+01   3.9150e+00  -1.0808e+00   1.2104e-04   2.4674e+09   5.3430e+09
  8.4339e+01   9.0164e+01   4.4901e+00  -1.0808e+00   1.0391e-04   7.6237e+09   1.6509e+10
  1.4998e+02   1.6019e+02   5.0647e+00  -1.0808e+00   9.6785e-05   2.3186e+10   5.0209e+10
