## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8402e-01  -1.2704e+00   2.9475e-01   3.9930e-03   1.7117e+05   1.3644e+06
  4.7427e-01   5.0516e-01  -6.9386e-01   2.9478e-01   3.6335e-03   5.3202e+05   4.2405e+06
  8.4339e-01   8.9938e-01  -1.1665e-01   2.9428e-01   3.4469e-03   1.6540e+06   1.3183e+07
  1.4998e+00   1.6010e+00   4.6014e-01   2.9505e-01   3.3871e-03   5.1283e+06   4.0875e+07
  2.6670e+00   2.8494e+00   1.0366e+00   2.9487e-01   3.4187e-03   1.5889e+07   1.2665e+08
  4.7427e+00   5.0710e+00   1.6129e+00   2.9481e-01   3.3803e-03   4.9493e+07   3.9449e+08
  8.4339e+00   9.0215e+00   2.1887e+00   2.9472e-01   3.3462e-03   1.5460e+08   1.2323e+09
  1.4998e+01   1.6042e+01   2.7641e+00   2.9494e-01   3.3371e-03   4.8268e+08   3.8472e+09
  2.6670e+01   2.8531e+01   3.3396e+00   2.9492e-01   3.3756e-03   1.5068e+09   1.2010e+10
  4.7427e+01   5.0724e+01   3.9149e+00   2.9472e-01   3.3797e-03   4.6879e+09   3.7365e+10
  8.4339e+01   9.0165e+01   4.4900e+00   2.9454e-01   3.3867e-03   1.4512e+10   1.1567e+11
  1.4998e+02   1.6022e+02   5.0649e+00   2.9425e-01   3.2560e-03   4.4284e+10   3.5297e+11
