## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8412e-01  -1.2700e+00  -1.0806e+00   1.3791e-04   2.5036e+07   5.4214e+07
  4.7427e-01   5.0568e-01  -6.9298e-01  -1.0808e+00   1.3869e-04   7.7944e+07   1.6879e+08
  8.4339e-01   9.0014e-01  -1.1620e-01  -1.0807e+00   1.3006e-04   2.4189e+08   5.2380e+08
  1.4998e+00   1.6018e+00   4.6008e-01  -1.0808e+00   1.3347e-04   7.4861e+08   1.6211e+09
  2.6670e+00   2.8502e+00   1.0362e+00  -1.0808e+00   1.4113e-04   2.3196e+09   5.0231e+09
  4.7427e+00   5.0705e+00   1.6121e+00  -1.0808e+00   1.4349e-04   7.2209e+09   1.5637e+10
  8.4339e+00   9.0194e+00   2.1879e+00  -1.0808e+00   1.4155e-04   2.2563e+10   4.8859e+10
  1.4998e+01   1.6038e+01   2.7634e+00  -1.0807e+00   1.2955e-04   7.0471e+10   1.5260e+11
  2.6670e+01   2.8522e+01   3.3391e+00  -1.0808e+00   1.2646e-04   2.2000e+11   4.7641e+11
  4.7427e+01   5.0718e+01   3.9147e+00  -1.0808e+00   1.1609e-04   6.8490e+11   1.4831e+12
  8.4339e+01   9.0166e+01   4.4900e+00  -1.0808e+00   1.1216e-04   2.1209e+12   4.5927e+12
  1.4998e+02   1.6018e+02   5.0646e+00  -1.0808e+00   1.0297e-04   6.4644e+12   1.3999e+13
