## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8496e-01  -1.2680e+00   4.2365e-01   9.8009e-03   6.0225e+02   4.7980e+03
  4.7427e-01   5.0628e-01  -6.9296e-01   3.3193e-01   6.6180e-03   1.9063e+03   1.5207e+04
  8.4339e-01   9.0055e-01  -1.1696e-01   3.0770e-01   3.4418e-03   5.7749e+03   4.6031e+04
  1.4998e+00   1.5992e+00   4.5753e-01   3.0060e-01   4.6196e-03   1.8045e+04   1.4379e+05
  2.6670e+00   2.8436e+00   1.0335e+00   3.0043e-01   3.1407e-03   5.6231e+04   4.4825e+05
  4.7427e+00   5.0603e+00   1.6102e+00   2.9853e-01   3.5804e-03   1.7559e+05   1.3996e+06
  8.4339e+00   9.0063e+00   2.1868e+00   2.9830e-01   3.2675e-03   5.5038e+05   4.3870e+06
  1.4998e+01   1.6026e+01   2.7631e+00   2.9685e-01   3.2269e-03   1.7233e+06   1.3736e+07
  2.6670e+01   2.8507e+01   3.3389e+00   2.9670e-01   3.2456e-03   5.3831e+06   4.2907e+07
  4.7427e+01   5.0695e+01   3.9145e+00   2.9613e-01   3.3216e-03   1.6747e+07   1.3348e+08
  8.4339e+01   9.0110e+01   4.4896e+00   2.9570e-01   3.2576e-03   5.1740e+07   4.1240e+08
  1.4998e+02   1.6015e+02   5.0645e+00   2.9533e-01   3.2361e-03   1.5751e+08   1.2555e+09
