## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4339e-01  -1.9551e+00  -1.2359e+00   3.5240e-03   2.2017e+04   5.1761e+04
  2.4037e-01   2.5678e-01  -1.3721e+00  -1.2400e+00   2.2062e-03   6.9419e+04   1.6328e+05
  4.3133e-01   4.6081e-01  -7.8683e-01  -1.2413e+00   8.0440e-04   2.1939e+05   5.1591e+05
  7.7400e-01   8.2604e-01  -2.0247e-01  -1.2409e+00   7.0723e-04   6.9042e+05   1.6237e+06
  1.3889e+00   1.4836e+00   3.8357e-01  -1.2389e+00   4.3175e-04   2.1809e+06   5.1292e+06
  2.4922e+00   2.6659e+00   9.6980e-01  -1.2397e+00   3.4223e-04   6.8745e+06   1.6169e+07
  4.4721e+00   4.7887e+00   1.5554e+00  -1.2397e+00   2.2692e-04   2.1779e+07   5.1224e+07
  8.0249e+00   8.5985e+00   2.1406e+00  -1.2397e+00   1.6390e-04   6.9234e+07   1.6284e+08
  1.4400e+01   1.5431e+01   2.7251e+00  -1.2398e+00   1.5593e-04   2.1995e+08   5.1731e+08
  2.5840e+01   2.7695e+01   3.3098e+00  -1.2398e+00   1.5192e-04   6.9881e+08   1.6436e+09
  4.6368e+01   4.9692e+01   3.8941e+00  -1.2398e+00   1.2954e-04   2.2107e+09   5.1996e+09
  8.3204e+01   8.9127e+01   4.4782e+00  -1.2398e+00   1.1466e-04   6.9544e+09   1.6357e+10
  1.4930e+02   1.5978e+02   5.0618e+00  -1.2398e+00   1.0333e-04   2.1529e+10   5.0637e+10
