## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4329e-01  -1.9554e+00   1.5640e-01   4.8713e-03   3.2038e+04   3.5283e+05
  2.4037e-01   2.5664e-01  -1.3722e+00   1.5611e-01   3.8769e-03   1.0238e+05   1.1281e+06
  4.3133e-01   4.6037e-01  -7.8713e-01   1.5671e-01   3.6066e-03   3.2486e+05   3.5796e+06
  7.7400e-01   8.2677e-01  -2.0117e-01   1.5577e-01   3.5537e-03   1.0274e+06   1.1321e+07
  1.3889e+00   1.4853e+00   3.8484e-01   1.5659e-01   3.4552e-03   3.2468e+06   3.5773e+07
  2.4922e+00   2.6677e+00   9.7042e-01   1.5644e-01   3.6238e-03   1.0233e+07   1.1276e+08
  4.4721e+00   4.7909e+00   1.5557e+00   1.5646e-01   3.5310e-03   3.2431e+07   3.5735e+08
  8.0249e+00   8.6008e+00   2.1406e+00   1.5630e-01   3.4957e-03   1.0312e+08   1.1362e+09
  1.4400e+01   1.5434e+01   2.7251e+00   1.5648e-01   3.5165e-03   3.2779e+08   3.6120e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.5652e-01   3.5351e-03   1.0417e+09   1.1478e+10
  4.6368e+01   4.9688e+01   3.8939e+00   1.5638e-01   3.5449e-03   3.2996e+09   3.6358e+10
  8.3204e+01   8.9127e+01   4.4781e+00   1.5615e-01   3.5288e-03   1.0400e+10   1.1460e+11
  1.4930e+02   1.5981e+02   5.0620e+00   1.5581e-01   3.4144e-03   3.2303e+10   3.5597e+11
