## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4318e-01  -1.9562e+00  -1.2403e+00   2.0685e-04   5.9798e+06   1.4064e+07
  2.4037e-01   2.5676e-01  -1.3716e+00  -1.2396e+00   1.3882e-04   1.9044e+07   4.4789e+07
  4.3133e-01   4.6074e-01  -7.8642e-01  -1.2397e+00   1.6677e-04   6.0541e+07   1.4239e+08
  7.7400e-01   8.2755e-01  -2.0061e-01  -1.2397e+00   1.2717e-04   1.9139e+08   4.5015e+08
  1.3889e+00   1.4862e+00   3.8483e-01  -1.2398e+00   1.3023e-04   6.0318e+08   1.4187e+09
  2.4922e+00   2.6686e+00   9.7003e-01  -1.2398e+00   1.4718e-04   1.9015e+09   4.4722e+09
  4.4721e+00   4.7906e+00   1.5550e+00  -1.2398e+00   1.4676e-04   6.0225e+09   1.4165e+10
  8.0249e+00   8.5989e+00   2.1399e+00  -1.2398e+00   1.4668e-04   1.9152e+10   4.5045e+10
  1.4400e+01   1.5429e+01   2.7244e+00  -1.2398e+00   1.3454e-04   6.0904e+10   1.4325e+11
  2.5840e+01   2.7690e+01   3.3092e+00  -1.2398e+00   1.3101e-04   1.9362e+11   4.5539e+11
  4.6368e+01   4.9683e+01   3.8937e+00  -1.2398e+00   1.2107e-04   6.1357e+11   1.4431e+12
  8.3204e+01   8.9129e+01   4.4781e+00  -1.2398e+00   1.1593e-04   1.9347e+12   4.5503e+12
  1.4930e+02   1.5978e+02   5.0617e+00  -1.2398e+00   1.0603e-04   6.0024e+12   1.4118e+13
