## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4864e-01  -1.9176e+00   3.8772e-01   9.0583e-02   7.0758e+01   7.7900e+02
  2.4037e-01   2.5856e-01  -1.3654e+00   3.0431e-01   2.4342e-02   3.5687e+02   3.9450e+03
  4.3133e-01   4.6239e-01  -7.8413e-01   1.8323e-01   1.0811e-02   1.1624e+03   1.2868e+04
  7.7400e-01   8.2896e-01  -2.0032e-01   1.7107e-01   6.0976e-03   3.5981e+03   3.9674e+04
  1.3889e+00   1.4848e+00   3.8286e-01   1.5792e-01   4.8211e-03   1.1397e+04   1.2574e+05
  2.4922e+00   2.6633e+00   9.6750e-01   1.6171e-01   3.0801e-03   3.6231e+04   3.9906e+05
  4.4721e+00   4.7804e+00   1.5528e+00   1.6111e-01   3.7681e-03   1.1496e+05   1.2666e+06
  8.0249e+00   8.5860e+00   2.1386e+00   1.5986e-01   3.4707e-03   3.6711e+05   4.0450e+06
  1.4400e+01   1.5417e+01   2.7240e+00   1.5828e-01   3.4710e-03   1.1699e+06   1.2892e+07
  2.5840e+01   2.7673e+01   3.3089e+00   1.5812e-01   3.4364e-03   3.7217e+06   4.1004e+07
  4.6368e+01   4.9660e+01   3.8935e+00   1.5772e-01   3.5529e-03   1.1791e+07   1.2991e+08
  8.3204e+01   8.9071e+01   4.4776e+00   1.5711e-01   3.4283e-03   3.7078e+07   4.0858e+08
  1.4930e+02   1.5974e+02   5.0616e+00   1.5671e-01   3.3640e-03   1.1489e+08   1.2661e+09
