## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4339e-01  -1.9551e+00  -1.0250e+00   3.4328e-03   2.2783e+04   5.1765e+04
  2.4037e-01   2.5679e-01  -1.3721e+00  -1.0300e+00   2.1005e-03   7.1835e+04   1.6330e+05
  4.3133e-01   4.6081e-01  -7.8683e-01  -1.0308e+00   8.8128e-04   2.2698e+05   5.1586e+05
  7.7400e-01   8.2599e-01  -2.0255e-01  -1.0306e+00   7.9597e-04   7.1422e+05   1.6234e+06
  1.3889e+00   1.4836e+00   3.8356e-01  -1.0289e+00   4.0554e-04   2.2569e+06   5.1301e+06
  2.4922e+00   2.6659e+00   9.6981e-01  -1.0294e+00   3.2353e-04   7.1126e+06   1.6168e+07
  4.4721e+00   4.7887e+00   1.5555e+00  -1.0295e+00   2.0205e-04   2.2535e+07   5.1225e+07
  8.0249e+00   8.5985e+00   2.1406e+00  -1.0295e+00   1.6248e-04   7.1633e+07   1.6283e+08
  1.4400e+01   1.5431e+01   2.7251e+00  -1.0296e+00   1.4452e-04   2.2757e+08   5.1731e+08
  2.5840e+01   2.7695e+01   3.3098e+00  -1.0296e+00   1.4037e-04   7.2304e+08   1.6436e+09
  4.6368e+01   4.9692e+01   3.8941e+00  -1.0296e+00   1.2462e-04   2.2874e+09   5.1996e+09
  8.3204e+01   8.9127e+01   4.4782e+00  -1.0296e+00   1.0885e-04   7.1955e+09   1.6357e+10
  1.4930e+02   1.5978e+02   5.0618e+00  -1.0296e+00   1.0139e-04   2.2276e+10   5.0636e+10
