## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4864e-01  -1.9176e+00   2.3983e-01   8.8588e-02   9.2469e+01   7.7900e+02
  2.4037e-01   2.5857e-01  -1.3654e+00   1.5423e-01   2.4802e-02   4.6646e+02   3.9450e+03
  4.3133e-01   4.6237e-01  -7.8419e-01   2.6431e-02   1.1157e-02   1.5190e+03   1.2865e+04
  7.7400e-01   8.2888e-01  -2.0041e-01   1.5459e-02   5.5538e-03   4.7019e+03   3.9672e+04
  1.3889e+00   1.4847e+00   3.8283e-01   1.6263e-03   2.2810e-03   1.4896e+04   1.2573e+05
  2.4922e+00   2.6633e+00   9.6748e-01   4.8978e-03   1.4670e-03   4.7354e+04   3.9909e+05
  4.4721e+00   4.7804e+00   1.5528e+00   4.6914e-03   8.8320e-04   1.5025e+05   1.2666e+06
  8.0249e+00   8.5863e+00   2.1387e+00   3.6216e-03   7.0103e-04   4.7988e+05   4.0456e+06
  1.4400e+01   1.5416e+01   2.7239e+00   1.6705e-03   5.1746e-04   1.5288e+06   1.2889e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.5834e-03   5.7143e-04   4.8641e+06   4.1004e+07
  4.6368e+01   4.9660e+01   3.8935e+00   1.3188e-03   5.7693e-04   1.5411e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   9.6569e-04   4.6807e-04   4.8464e+07   4.0861e+08
  1.4930e+02   1.5974e+02   5.0616e+00   9.1215e-04   4.1689e-04   1.5017e+08   1.2661e+09
