## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9554e+00   1.8943e-01   4.8956e-03   4.1872e+04   3.5282e+05
  2.4037e-01   2.5663e-01  -1.3722e+00   1.8886e-01   3.9665e-03   1.3379e+05   1.1280e+06
  4.3133e-01   4.6036e-01  -7.8715e-01   1.8952e-01   3.6222e-03   4.2460e+05   3.5798e+06
  7.7400e-01   8.2677e-01  -2.0117e-01   1.8841e-01   3.6245e-03   1.3428e+06   1.1321e+07
  1.3889e+00   1.4853e+00   3.8482e-01   1.8934e-01   3.4656e-03   4.2431e+06   3.5769e+07
  2.4922e+00   2.6676e+00   9.7041e-01   1.8919e-01   3.6456e-03   1.3375e+07   1.1276e+08
  4.4721e+00   4.7908e+00   1.5557e+00   1.8923e-01   3.5876e-03   4.2385e+07   3.5734e+08
  8.0249e+00   8.6007e+00   2.1406e+00   1.8900e-01   3.5400e-03   1.3476e+08   1.1362e+09
  1.4400e+01   1.5434e+01   2.7251e+00   1.8924e-01   3.5639e-03   4.2842e+08   3.6120e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.8928e-01   3.5724e-03   1.3614e+09   1.1478e+10
  4.6368e+01   4.9688e+01   3.8939e+00   1.8910e-01   3.5862e-03   4.3125e+09   3.6358e+10
  8.3204e+01   8.9127e+01   4.4781e+00   1.8887e-01   3.5779e-03   1.3593e+10   1.1460e+11
  1.4930e+02   1.5981e+02   5.0620e+00   1.8853e-01   3.4512e-03   4.2219e+10   3.5597e+11
