## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4318e-01  -1.9562e+00  -1.1330e+00   2.0360e-04   6.7784e+06   1.4063e+07
  2.4037e-01   2.5675e-01  -1.3716e+00  -1.1324e+00   1.4063e-04   2.1587e+07   4.4788e+07
  4.3133e-01   4.6074e-01  -7.8642e-01  -1.1325e+00   1.5791e-04   6.8631e+07   1.4239e+08
  7.7400e-01   8.2755e-01  -2.0061e-01  -1.1325e+00   1.2344e-04   2.1696e+08   4.5014e+08
  1.3889e+00   1.4862e+00   3.8482e-01  -1.1326e+00   1.1927e-04   6.8375e+08   1.4186e+09
  2.4922e+00   2.6686e+00   9.7003e-01  -1.1326e+00   1.3927e-04   2.1555e+09   4.4722e+09
  4.4721e+00   4.7906e+00   1.5550e+00  -1.1326e+00   1.4107e-04   6.8271e+09   1.4165e+10
  8.0249e+00   8.5989e+00   2.1399e+00  -1.1326e+00   1.3986e-04   2.1711e+10   4.5045e+10
  1.4400e+01   1.5429e+01   2.7244e+00  -1.1325e+00   1.2691e-04   6.9041e+10   1.4325e+11
  2.5840e+01   2.7690e+01   3.3092e+00  -1.1325e+00   1.2397e-04   2.1949e+11   4.5540e+11
  4.6368e+01   4.9683e+01   3.8937e+00  -1.1326e+00   1.1575e-04   6.9554e+11   1.4431e+12
  8.3204e+01   8.9128e+01   4.4781e+00  -1.1326e+00   1.1332e-04   2.1931e+12   4.5502e+12
  1.4930e+02   1.5978e+02   5.0617e+00  -1.1326e+00   1.0245e-04   6.8044e+12   1.4118e+13
