## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4864e-01  -1.9176e+00   4.2925e-01   9.0668e-02   9.2469e+01   7.7900e+02
  2.4037e-01   2.5857e-01  -1.3654e+00   3.4309e-01   2.3364e-02   4.6646e+02   3.9450e+03
  4.3133e-01   4.6237e-01  -7.8419e-01   2.1595e-01   1.0603e-02   1.5190e+03   1.2865e+04
  7.7400e-01   8.2888e-01  -2.0041e-01   2.0387e-01   6.0013e-03   4.7019e+03   3.9672e+04
  1.3889e+00   1.4847e+00   3.8283e-01   1.9097e-01   4.7970e-03   1.4896e+04   1.2573e+05
  2.4922e+00   2.6633e+00   9.6748e-01   1.9409e-01   3.1168e-03   4.7354e+04   3.9909e+05
  4.4721e+00   4.7804e+00   1.5528e+00   1.9392e-01   3.7552e-03   1.5025e+05   1.2666e+06
  8.0249e+00   8.5863e+00   2.1387e+00   1.9262e-01   3.5337e-03   4.7988e+05   4.0456e+06
  1.4400e+01   1.5416e+01   2.7239e+00   1.9091e-01   3.5507e-03   1.5288e+06   1.2889e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.9086e-01   3.4582e-03   4.8641e+06   4.1004e+07
  4.6368e+01   4.9660e+01   3.8935e+00   1.9042e-01   3.5983e-03   1.5411e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   1.8983e-01   3.4530e-03   4.8464e+07   4.0861e+08
  1.4930e+02   1.5974e+02   5.0616e+00   1.8944e-01   3.3931e-03   1.5017e+08   1.2661e+09
