## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00  -1.1142e+00   3.4487e-03   2.3469e+04   5.1755e+04
  2.4037e-01   2.5678e-01  -1.3721e+00  -1.1185e+00   2.0220e-03   7.4016e+04   1.6330e+05
  4.3133e-01   4.6081e-01  -7.8684e-01  -1.1200e+00   7.7742e-04   2.3387e+05   5.1584e+05
  7.7400e-01   8.2600e-01  -2.0253e-01  -1.1197e+00   7.3242e-04   7.3596e+05   1.6236e+06
  1.3889e+00   1.4837e+00   3.8362e-01  -1.1176e+00   4.5612e-04   2.3256e+06   5.1305e+06
  2.4922e+00   2.6659e+00   9.6980e-01  -1.1184e+00   3.5333e-04   7.3276e+06   1.6166e+07
  4.4721e+00   4.7885e+00   1.5554e+00  -1.1184e+00   2.1752e-04   2.3217e+07   5.1221e+07
  8.0249e+00   8.5985e+00   2.1406e+00  -1.1184e+00   1.6401e-04   7.3815e+07   1.6285e+08
  1.4400e+01   1.5431e+01   2.7251e+00  -1.1185e+00   1.4511e-04   2.3448e+08   5.1731e+08
  2.5840e+01   2.7695e+01   3.3098e+00  -1.1185e+00   1.4833e-04   7.4501e+08   1.6436e+09
  4.6368e+01   4.9692e+01   3.8941e+00  -1.1185e+00   1.2856e-04   2.3568e+09   5.1996e+09
  8.3204e+01   8.9127e+01   4.4782e+00  -1.1185e+00   1.0837e-04   7.4140e+09   1.6357e+10
  1.4930e+02   1.5978e+02   5.0618e+00  -1.1185e+00   1.0038e-04   2.2952e+10   5.0636e+10
