## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4864e-01  -1.9176e+00   2.5018e-01   9.0313e-02   8.0417e+01   7.7900e+02
  2.4037e-01   2.5858e-01  -1.3654e+00   1.5694e-01   2.4742e-02   4.0565e+02   3.9460e+03
  4.3133e-01   4.6238e-01  -7.8416e-01   2.7247e-02   1.1381e-02   1.3207e+03   1.2865e+04
  7.7400e-01   8.2889e-01  -2.0040e-01   1.5758e-02   5.5561e-03   4.0883e+03   3.9669e+04
  1.3889e+00   1.4847e+00   3.8281e-01   1.9722e-03   2.3363e-03   1.2951e+04   1.2572e+05
  2.4922e+00   2.6632e+00   9.6746e-01   4.9430e-03   1.4907e-03   4.1169e+04   3.9905e+05
  4.4721e+00   4.7807e+00   1.5529e+00   4.6976e-03   8.6424e-04   1.3067e+05   1.2670e+06
  8.0249e+00   8.5863e+00   2.1387e+00   3.7112e-03   6.8722e-04   4.1716e+05   4.0448e+06
  1.4400e+01   1.5416e+01   2.7239e+00   1.7866e-03   5.6462e-04   1.3293e+06   1.2890e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.6499e-03   5.5839e-04   4.2294e+06   4.1004e+07
  4.6368e+01   4.9660e+01   3.8935e+00   1.3413e-03   5.8429e-04   1.3399e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   9.7049e-04   4.6255e-04   4.2138e+07   4.0860e+08
  1.4930e+02   1.5974e+02   5.0616e+00   9.4439e-04   4.1878e-04   1.3057e+08   1.2661e+09
