## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9554e+00   1.9617e-01   4.8813e-03   3.6414e+04   3.5287e+05
  2.4037e-01   2.5663e-01  -1.3722e+00   1.9566e-01   3.8824e-03   1.1632e+05   1.1279e+06
  4.3133e-01   4.6036e-01  -7.8715e-01   1.9611e-01   3.6195e-03   3.6919e+05   3.5799e+06
  7.7400e-01   8.2677e-01  -2.0117e-01   1.9525e-01   3.6079e-03   1.1675e+06   1.1320e+07
  1.3889e+00   1.4853e+00   3.8482e-01   1.9591e-01   3.4435e-03   3.6894e+06   3.5770e+07
  2.4922e+00   2.6677e+00   9.7042e-01   1.9587e-01   3.6732e-03   1.1630e+07   1.1276e+08
  4.4721e+00   4.7909e+00   1.5557e+00   1.9589e-01   3.5671e-03   3.6854e+07   3.5734e+08
  8.0249e+00   8.6008e+00   2.1406e+00   1.9565e-01   3.5431e-03   1.1718e+08   1.1362e+09
  1.4400e+01   1.5434e+01   2.7251e+00   1.9586e-01   3.5460e-03   3.7251e+08   3.6120e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.9591e-01   3.5580e-03   1.1837e+09   1.1478e+10
  4.6368e+01   4.9689e+01   3.8939e+00   1.9576e-01   3.5753e-03   3.7498e+09   3.6359e+10
  8.3204e+01   8.9127e+01   4.4781e+00   1.9554e-01   3.5758e-03   1.1819e+10   1.1460e+11
  1.4930e+02   1.5981e+02   5.0619e+00   1.9520e-01   3.4479e-03   3.6709e+10   3.5596e+11
