## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4864e-01  -1.9176e+00   4.4635e-01   9.2403e-02   8.0417e+01   7.7900e+02
  2.4037e-01   2.5858e-01  -1.3654e+00   3.5259e-01   2.3477e-02   4.0565e+02   3.9460e+03
  4.3133e-01   4.6238e-01  -7.8416e-01   2.2336e-01   1.0836e-02   1.3207e+03   1.2865e+04
  7.7400e-01   8.2889e-01  -2.0040e-01   2.1100e-01   5.9611e-03   4.0883e+03   3.9669e+04
  1.3889e+00   1.4847e+00   3.8281e-01   1.9788e-01   4.8595e-03   1.2951e+04   1.2572e+05
  2.4922e+00   2.6632e+00   9.6746e-01   2.0082e-01   3.1622e-03   4.1169e+04   3.9905e+05
  4.4721e+00   4.7807e+00   1.5529e+00   2.0059e-01   3.7366e-03   1.3067e+05   1.2670e+06
  8.0249e+00   8.5863e+00   2.1387e+00   1.9936e-01   3.5030e-03   4.1716e+05   4.0448e+06
  1.4400e+01   1.5416e+01   2.7239e+00   1.9765e-01   3.5606e-03   1.3293e+06   1.2890e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.9756e-01   3.4742e-03   4.2294e+06   4.1004e+07
  4.6368e+01   4.9660e+01   3.8935e+00   1.9710e-01   3.5984e-03   1.3399e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   1.9651e-01   3.4701e-03   4.2138e+07   4.0860e+08
  1.4930e+02   1.5974e+02   5.0616e+00   1.9614e-01   3.4001e-03   1.3057e+08   1.2661e+09
