## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00  -5.9079e-01   2.7147e-03   2.6109e+04   5.1702e+04
  2.4037e-01   2.5671e-01  -1.3723e+00  -5.9817e-01   2.0240e-03   8.2409e+04   1.6319e+05
  4.3133e-01   4.6062e-01  -7.8716e-01  -5.9725e-01   1.2474e-03   2.6016e+05   5.1519e+05
  7.7400e-01   8.2581e-01  -2.0268e-01  -5.9860e-01   8.5123e-04   8.1968e+05   1.6232e+06
  1.3889e+00   1.4837e+00   3.8366e-01  -5.9656e-01   2.9415e-04   2.5913e+06   5.1316e+06
  2.4922e+00   2.6660e+00   9.6984e-01  -5.9733e-01   3.2058e-04   8.1646e+06   1.6168e+07
  4.4721e+00   4.7886e+00   1.5554e+00  -5.9728e-01   1.3187e-04   2.5867e+07   5.1224e+07
  8.0249e+00   8.5985e+00   2.1406e+00  -5.9726e-01   1.4810e-04   8.2227e+07   1.6283e+08
  1.4400e+01   1.5431e+01   2.7251e+00  -5.9740e-01   1.1567e-04   2.6124e+08   5.1733e+08
  2.5840e+01   2.7695e+01   3.3098e+00  -5.9741e-01   9.8985e-05   8.2997e+08   1.6436e+09
  4.6368e+01   4.9692e+01   3.8941e+00  -5.9742e-01   9.4355e-05   2.6257e+09   5.1996e+09
  8.3204e+01   8.9127e+01   4.4782e+00  -5.9742e-01   7.8944e-05   8.2597e+09   1.6356e+10
  1.4930e+02   1.5978e+02   5.0618e+00  -5.9742e-01   8.7662e-05   2.5571e+10   5.0637e+10
