## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4854e-01  -1.9184e+00   6.1479e-01   1.0200e-01   1.5460e+02   7.7900e+02
  2.4037e-01   2.5844e-01  -1.3659e+00   2.5321e-01   1.9101e-02   7.8232e+02   3.9420e+03
  4.3133e-01   4.6217e-01  -7.8453e-01   4.4788e-02   1.1056e-02   2.5506e+03   1.2852e+04
  7.7400e-01   8.2837e-01  -2.0096e-01   2.2838e-02   7.0851e-03   7.8648e+03   3.9630e+04
  1.3889e+00   1.4839e+00   3.8241e-01   2.4714e-03   2.5126e-03   2.4933e+04   1.2563e+05
  2.4922e+00   2.6624e+00   9.6729e-01   3.3616e-03   1.6387e-03   7.9128e+04   3.9872e+05
  4.4721e+00   4.7795e+00   1.5528e+00   2.2304e-03   1.0291e-03   2.5136e+05   1.2666e+06
  8.0249e+00   8.5857e+00   2.1387e+00   2.4446e-03   5.5551e-04   8.0275e+05   4.0450e+06
  1.4400e+01   1.5417e+01   2.7240e+00   1.3316e-03   6.9549e-04   2.5583e+06   1.2891e+07
  2.5840e+01   2.7674e+01   3.3089e+00   1.4374e-03   6.7049e-04   8.1384e+06   4.1008e+07
  4.6368e+01   4.9662e+01   3.8935e+00   7.3164e-04   6.7073e-04   2.5781e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   3.7860e-04   4.3728e-04   8.1088e+07   4.0859e+08
  1.4930e+02   1.5974e+02   5.0616e+00   5.9913e-04   3.4146e-04   2.5128e+08   1.2662e+09
