## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9555e+00   7.1812e-01   5.1497e-03   7.0019e+04   3.5282e+05
  2.4037e-01   2.5664e-01  -1.3722e+00   7.1933e-01   5.5472e-03   2.2385e+05   1.1279e+06
  4.3133e-01   4.6036e-01  -7.8716e-01   7.1799e-01   4.9743e-03   7.1047e+05   3.5800e+06
  7.7400e-01   8.2677e-01  -2.0116e-01   7.1738e-01   5.1261e-03   2.2467e+06   1.1321e+07
  1.3889e+00   1.4853e+00   3.8483e-01   7.1847e-01   4.9132e-03   7.0985e+06   3.5768e+07
  2.4922e+00   2.6676e+00   9.7040e-01   7.1836e-01   4.9875e-03   2.2378e+07   1.1276e+08
  4.4721e+00   4.7908e+00   1.5557e+00   7.1838e-01   5.0145e-03   7.0910e+07   3.5731e+08
  8.0249e+00   8.6006e+00   2.1406e+00   7.1828e-01   5.0330e-03   2.2547e+08   1.1361e+09
  1.4400e+01   1.5434e+01   2.7251e+00   7.1847e-01   5.0042e-03   7.1682e+08   3.6120e+09
  2.5840e+01   2.7699e+01   3.3097e+00   7.1844e-01   5.0174e-03   2.2781e+09   1.1479e+10
  4.6368e+01   4.9690e+01   3.8940e+00   7.1829e-01   4.9463e-03   7.2158e+09   3.6359e+10
  8.3204e+01   8.9129e+01   4.4781e+00   7.1802e-01   4.9103e-03   2.2744e+10   1.1460e+11
  1.4930e+02   1.5981e+02   5.0620e+00   7.1767e-01   4.7676e-03   7.0645e+10   3.5597e+11
