## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4317e-01  -1.9563e+00  -5.9776e-01   2.0622e-04   7.1003e+06   1.4060e+07
  2.4037e-01   2.5673e-01  -1.3717e+00  -5.9711e-01   1.4041e-04   2.2613e+07   4.4779e+07
  4.3133e-01   4.6072e-01  -7.8645e-01  -5.9731e-01   1.8892e-04   7.1902e+07   1.4239e+08
  7.7400e-01   8.2753e-01  -2.0062e-01  -5.9733e-01   9.7540e-05   2.2730e+08   4.5012e+08
  1.3889e+00   1.4861e+00   3.8482e-01  -5.9745e-01   1.3129e-04   7.1636e+08   1.4186e+09
  2.4922e+00   2.6686e+00   9.7005e-01  -5.9738e-01   1.3557e-04   2.2584e+09   4.4723e+09
  4.4721e+00   4.7907e+00   1.5550e+00  -5.9737e-01   1.3923e-04   7.1530e+09   1.4165e+10
  8.0249e+00   8.5989e+00   2.1399e+00  -5.9738e-01   1.3382e-04   2.2747e+10   4.5044e+10
  1.4400e+01   1.5429e+01   2.7244e+00  -5.9735e-01   1.2145e-04   7.2337e+10   1.4325e+11
  2.5840e+01   2.7690e+01   3.3092e+00  -5.9737e-01   1.0915e-04   2.2997e+11   4.5540e+11
  4.6368e+01   4.9683e+01   3.8937e+00  -5.9739e-01   1.0558e-04   7.2874e+11   1.4431e+12
  8.3204e+01   8.9128e+01   4.4781e+00  -5.9741e-01   9.8393e-05   2.2978e+12   4.5502e+12
  1.4930e+02   1.5978e+02   5.0617e+00  -5.9742e-01   1.0058e-04   7.1291e+12   1.4118e+13
