## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4854e-01  -1.9184e+00   1.3329e+00   1.0257e-01   1.5460e+02   7.7900e+02
  2.4037e-01   2.5844e-01  -1.3659e+00   9.7254e-01   1.8079e-02   7.8232e+02   3.9420e+03
  4.3133e-01   4.6217e-01  -7.8453e-01   7.6277e-01   1.2574e-02   2.5506e+03   1.2852e+04
  7.7400e-01   8.2837e-01  -2.0096e-01   7.4022e-01   9.5415e-03   7.8648e+03   3.9630e+04
  1.3889e+00   1.4839e+00   3.8241e-01   7.2094e-01   6.0107e-03   2.4933e+04   1.2563e+05
  2.4922e+00   2.6624e+00   9.6729e-01   7.2172e-01   5.9551e-03   7.9128e+04   3.9872e+05
  4.4721e+00   4.7795e+00   1.5528e+00   7.2062e-01   5.0850e-03   2.5136e+05   1.2666e+06
  8.0249e+00   8.5857e+00   2.1387e+00   7.2072e-01   4.8633e-03   8.0275e+05   4.0450e+06
  1.4400e+01   1.5417e+01   2.7240e+00   7.1980e-01   4.8622e-03   2.5583e+06   1.2891e+07
  2.5840e+01   2.7674e+01   3.3089e+00   7.1987e-01   4.6397e-03   8.1384e+06   4.1008e+07
  4.6368e+01   4.9662e+01   3.8935e+00   7.1902e-01   4.5852e-03   2.5781e+07   1.2991e+08
  8.3204e+01   8.9073e+01   4.4776e+00   7.1840e-01   4.6114e-03   8.1088e+07   4.0859e+08
  1.4930e+02   1.5974e+02   5.0616e+00   7.1827e-01   4.5921e-03   2.5128e+08   1.2662e+09
