## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4329e-01  -1.9558e+00   1.5985e-01   4.7310e-03   1.0177e+04   7.3150e+04
  2.4037e-01   2.5682e-01  -1.3718e+00   1.5706e-01   1.9127e-03   3.2216e+04   2.3166e+05
  4.3133e-01   4.6071e-01  -7.8686e-01   1.5539e-01   8.1693e-04   1.0185e+05   7.3244e+05
  7.7400e-01   8.2625e-01  -2.0209e-01   1.5519e-01   7.0093e-04   3.2086e+05   2.3076e+06
  1.3889e+00   1.4842e+00   3.8404e-01   1.5478e-01   4.0261e-04   1.0133e+06   7.2880e+06
  2.4922e+00   2.6664e+00   9.7002e-01   1.5489e-01   2.9443e-04   3.1924e+06   2.2963e+07
  4.4721e+00   4.7893e+00   1.5556e+00   1.5492e-01   1.6573e-04   1.0115e+07   7.2753e+07
  8.0249e+00   8.5995e+00   2.1407e+00   1.5501e-01   1.6481e-04   3.2151e+07   2.3126e+08
  1.4400e+01   1.5432e+01   2.7252e+00   1.5509e-01   1.4154e-04   1.0212e+08   7.3456e+08
  2.5840e+01   2.7695e+01   3.3098e+00   1.5509e-01   1.5319e-04   3.2445e+08   2.3337e+09
  4.6368e+01   4.9693e+01   3.8941e+00   1.5507e-01   1.2674e-04   1.0265e+09   7.3831e+09
  8.3204e+01   8.9128e+01   4.4782e+00   1.5509e-01   1.2793e-04   3.2289e+09   2.3225e+10
  1.4930e+02   1.5978e+02   5.0618e+00   1.5507e-01   1.1417e-04   9.9960e+09   7.1899e+10
