## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4813e-01  -1.9216e+00   2.8228e-01   5.4735e-02   1.2280e+02   1.1630e+03
  2.4037e-01   2.5886e-01  -1.3642e+00   1.6970e-01   1.1243e-02   5.8339e+02   5.4820e+03
  4.3133e-01   4.6134e-01  -7.8647e-01   3.6651e-02   7.2431e-03   1.9330e+03   1.8195e+04
  7.7400e-01   8.2843e-01  -2.0087e-01   1.6841e-02   5.1957e-03   5.9809e+03   5.6251e+04
  1.3889e+00   1.4842e+00   3.8261e-01   5.5014e-03   3.4439e-03   1.8986e+04   1.7862e+05
  2.4922e+00   2.6631e+00   9.6759e-01   2.4794e-03   1.6367e-03   6.0114e+04   5.6527e+05
  4.4721e+00   4.7812e+00   1.5532e+00   2.3863e-03   1.4720e-03   1.9092e+05   1.7958e+06
  8.0249e+00   8.5873e+00   2.1389e+00   2.2162e-03   1.4019e-03   6.0919e+05   5.7288e+06
  1.4400e+01   1.5418e+01   2.7242e+00   1.2899e-03   1.2654e-03   1.9406e+06   1.8251e+07
  2.5840e+01   2.7676e+01   3.3090e+00   6.0712e-04   1.2437e-03   6.1721e+06   5.8043e+07
  4.6368e+01   4.9665e+01   3.8936e+00   6.4286e-04   1.0927e-03   1.9548e+07   1.8383e+08
  8.3204e+01   8.9080e+01   4.4777e+00   5.8143e-04   8.8718e-04   6.1500e+07   5.7838e+08
  1.4930e+02   1.5975e+02   5.0617e+00   4.8524e-04   6.1054e-04   1.9054e+08   1.7919e+09
