## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4326e-01  -1.9559e+00   3.9922e-02   3.6207e-03   1.8448e+04   1.7352e+05
  2.4037e-01   2.5696e-01  -1.3713e+00   3.9202e-02   2.7138e-03   5.8645e+04   5.5176e+05
  4.3133e-01   4.6043e-01  -7.8751e-01   4.0852e-02   2.4887e-03   1.8558e+05   1.7456e+06
  7.7400e-01   8.2628e-01  -2.0213e-01   4.0953e-02   2.4142e-03   5.8640e+05   5.5157e+06
  1.3889e+00   1.4843e+00   3.8394e-01   4.1228e-02   2.5675e-03   1.8541e+06   1.7440e+07
  2.4922e+00   2.6668e+00   9.6996e-01   4.1234e-02   2.5484e-03   5.8527e+06   5.5047e+07
  4.4721e+00   4.7893e+00   1.5554e+00   4.1228e-02   2.4490e-03   1.8551e+07   1.7448e+08
  8.0249e+00   8.5991e+00   2.1404e+00   4.1026e-02   2.4754e-03   5.8997e+07   5.5491e+08
  1.4400e+01   1.5432e+01   2.7249e+00   4.1215e-02   2.4782e-03   1.8757e+08   1.7642e+09
  2.5840e+01   2.7694e+01   3.3094e+00   4.1345e-02   2.4873e-03   5.9588e+08   5.6046e+09
  4.6368e+01   4.9679e+01   3.8937e+00   4.1076e-02   2.5157e-03   1.8869e+09   1.7748e+10
  8.3204e+01   8.9110e+01   4.4779e+00   4.0993e-02   2.6354e-03   5.9399e+09   5.5868e+10
  1.4930e+02   1.5979e+02   5.0618e+00   4.0944e-02   2.6018e-03   1.8415e+10   1.7319e+11
