## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4325e-01  -1.9559e+00   1.5500e-01   1.9458e-04   9.5802e+05   6.8906e+06
  2.4037e-01   2.5686e-01  -1.3715e+00   1.5496e-01   2.7467e-04   3.0518e+06   2.1948e+07
  4.3133e-01   4.6080e-01  -7.8654e-01   1.5486e-01   2.0165e-04   9.6911e+06   6.9701e+07
  7.7400e-01   8.2746e-01  -2.0088e-01   1.5500e-01   1.3638e-04   3.0633e+07   2.2033e+08
  1.3889e+00   1.4859e+00   3.8454e-01   1.5502e-01   1.5531e-04   9.6528e+07   6.9430e+08
  2.4922e+00   2.6680e+00   9.6980e-01   1.5501e-01   1.5001e-04   3.0437e+08   2.1893e+09
  4.4721e+00   4.7901e+00   1.5549e+00   1.5501e-01   1.4248e-04   9.6427e+08   6.9358e+09
  8.0249e+00   8.5983e+00   2.1398e+00   1.5501e-01   1.4601e-04   3.0665e+09   2.2056e+10
  1.4400e+01   1.5429e+01   2.7244e+00   1.5504e-01   1.4014e-04   9.7524e+09   7.0147e+10
  2.5840e+01   2.7689e+01   3.3091e+00   1.5503e-01   1.3402e-04   3.0985e+10   2.2287e+11
  4.6368e+01   4.9681e+01   3.8937e+00   1.5502e-01   1.1328e-04   9.8144e+10   7.0593e+11
  8.3204e+01   8.9123e+01   4.4780e+00   1.5502e-01   1.0263e-04   3.0903e+11   2.2228e+12
  1.4930e+02   1.5978e+02   5.0617e+00   1.5505e-01   1.0368e-04   9.5737e+11   6.8861e+12
