## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4813e-01  -1.9216e+00   3.2221e-01   5.4329e-02   1.2280e+02   1.1630e+03
  2.4037e-01   2.5886e-01  -1.3642e+00   2.0891e-01   1.0969e-02   5.8339e+02   5.4820e+03
  4.3133e-01   4.6134e-01  -7.8647e-01   7.7503e-02   7.3912e-03   1.9330e+03   1.8195e+04
  7.7400e-01   8.2843e-01  -2.0087e-01   5.7794e-02   4.8022e-03   5.9809e+03   5.6251e+04
  1.3889e+00   1.4842e+00   3.8261e-01   4.6729e-02   4.6393e-03   1.8986e+04   1.7862e+05
  2.4922e+00   2.6631e+00   9.6759e-01   4.3713e-02   3.1388e-03   6.0114e+04   5.6527e+05
  4.4721e+00   4.7812e+00   1.5532e+00   4.3614e-02   3.1331e-03   1.9092e+05   1.7958e+06
  8.0249e+00   8.5873e+00   2.1389e+00   4.3243e-02   2.7914e-03   6.0919e+05   5.7288e+06
  1.4400e+01   1.5418e+01   2.7242e+00   4.2504e-02   2.7832e-03   1.9406e+06   1.8251e+07
  2.5840e+01   2.7676e+01   3.3090e+00   4.1952e-02   2.6759e-03   6.1721e+06   5.8043e+07
  4.6368e+01   4.9665e+01   3.8936e+00   4.1719e-02   2.7840e-03   1.9548e+07   1.8383e+08
  8.3204e+01   8.9080e+01   4.4777e+00   4.1574e-02   2.6905e-03   6.1500e+07   5.7838e+08
  1.4930e+02   1.5975e+02   5.0617e+00   4.1430e-02   2.6706e-03   1.9054e+08   1.7919e+09
