## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9554e+00   1.7753e-01   2.9779e-04   5.0613e+04   1.9207e+05
  2.4037e-01   2.5696e-01  -1.3714e+00   1.7794e-01   2.7162e-04   1.6090e+05   6.1056e+05
  4.3133e-01   4.6040e-01  -7.8767e-01   1.7782e-01   1.3639e-04   5.0812e+05   1.9282e+06
  7.7400e-01   8.2620e-01  -2.0230e-01   1.7783e-01   9.2639e-05   1.6057e+06   6.0931e+06
  1.3889e+00   1.4840e+00   3.8376e-01   1.7803e-01   9.6296e-05   5.0682e+06   1.9232e+07
  2.4922e+00   2.6665e+00   9.6985e-01   1.7806e-01   5.2882e-05   1.5998e+07   6.0707e+07
  4.4721e+00   4.7889e+00   1.5553e+00   1.7811e-01   4.5145e-05   5.0694e+07   1.9237e+08
  8.0249e+00   8.5985e+00   2.1404e+00   1.7809e-01   4.9149e-05   1.6118e+08   6.1164e+08
  1.4400e+01   1.5431e+01   2.7249e+00   1.7807e-01   4.4493e-05   5.1232e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.7807e-01   4.9611e-05   1.6278e+09   6.1771e+09
  4.6368e+01   4.9683e+01   3.8938e+00   1.7807e-01   4.5049e-05   5.1549e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.7807e-01   4.6352e-05   1.6243e+10   6.1638e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.7806e-01   4.7492e-05   5.0412e+10   1.9130e+11
