## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   6.1442e-02   1.0106e-02   9.1313e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   2.2167e-02   2.6667e-03   4.0579e+03   1.5434e+04
  4.3133e-01   4.6098e-01  -7.8716e-01   4.8333e-03   1.3511e-03   1.2436e+04   4.7311e+04
  7.7400e-01   8.2709e-01  -2.0241e-01   3.4759e-03   6.0534e-04   3.8763e+04   1.4745e+05
  1.3889e+00   1.4843e+00   3.8284e-01   1.8537e-03   4.7363e-04   1.2361e+05   4.7022e+05
  2.4922e+00   2.6628e+00   9.6767e-01   1.1730e-03   2.6824e-04   3.9329e+05   1.4962e+06
  4.4721e+00   4.7830e+00   1.5536e+00   9.9854e-04   1.2179e-04   1.2488e+06   4.7507e+06
  8.0249e+00   8.5906e+00   2.1392e+00   5.9239e-04   9.0749e-05   3.9883e+06   1.5173e+07
  1.4400e+01   1.5420e+01   2.7241e+00   2.5018e-04   8.9050e-05   1.2705e+07   4.8336e+07
  2.5840e+01   2.7676e+01   3.3089e+00   1.1492e-04   9.6892e-05   4.0403e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.9447e-05   9.6544e-05   1.2814e+08   4.8746e+08
  8.3204e+01   8.9094e+01   4.4778e+00   8.4947e-05   9.0896e-05   4.0393e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.3859e-05   9.2843e-05   1.2543e+09   4.7717e+09
