## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9557e+00   1.7567e-01   2.1866e-03   5.2268e+04   1.9884e+05
  2.4037e-01   2.5671e-01  -1.3722e+00   1.7585e-01   1.9180e-03   1.6630e+05   6.3267e+05
  4.3133e-01   4.6029e-01  -7.8757e-01   1.7618e-01   2.0965e-03   5.2731e+05   2.0060e+06
  7.7400e-01   8.2642e-01  -2.0175e-01   1.7600e-01   1.9810e-03   1.6673e+06   6.3426e+06
  1.3889e+00   1.4846e+00   3.8431e-01   1.7589e-01   1.9720e-03   5.2726e+06   2.0058e+07
  2.4922e+00   2.6670e+00   9.7014e-01   1.7587e-01   1.9749e-03   1.6630e+07   6.3263e+07
  4.4721e+00   4.7897e+00   1.5555e+00   1.7609e-01   1.9560e-03   5.2683e+07   2.0042e+08
  8.0249e+00   8.6000e+00   2.1406e+00   1.7608e-01   1.9616e-03   1.6754e+08   6.3737e+08
  1.4400e+01   1.5432e+01   2.7251e+00   1.7618e-01   1.9457e-03   5.3256e+08   2.0260e+09
  2.5840e+01   2.7697e+01   3.3096e+00   1.7622e-01   1.9427e-03   1.6927e+09   6.4394e+09
  4.6368e+01   4.9690e+01   3.8940e+00   1.7626e-01   1.9369e-03   5.3619e+09   2.0398e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.7632e-01   1.9402e-03   1.6901e+10   6.4296e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7656e-01   1.8954e-03   5.2489e+10   1.9968e+11
