## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   2.3711e-01   1.0776e-02   9.1313e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   1.9802e-01   3.8404e-03   4.0579e+03   1.5434e+04
  4.3133e-01   4.6098e-01  -7.8716e-01   1.8101e-01   2.4922e-03   1.2436e+04   4.7311e+04
  7.7400e-01   8.2709e-01  -2.0241e-01   1.7948e-01   1.9587e-03   3.8763e+04   1.4745e+05
  1.3889e+00   1.4843e+00   3.8284e-01   1.7774e-01   1.9230e-03   1.2361e+05   4.7022e+05
  2.4922e+00   2.6628e+00   9.6767e-01   1.7704e-01   1.9368e-03   3.9329e+05   1.4962e+06
  4.4721e+00   4.7830e+00   1.5536e+00   1.7708e-01   1.9389e-03   1.2488e+06   4.7507e+06
  8.0249e+00   8.5906e+00   2.1392e+00   1.7667e-01   1.9635e-03   3.9883e+06   1.5173e+07
  1.4400e+01   1.5420e+01   2.7241e+00   1.7643e-01   1.9882e-03   1.2705e+07   4.8336e+07
  2.5840e+01   2.7676e+01   3.3089e+00   1.7633e-01   1.9771e-03   4.0403e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.7628e-01   1.9420e-03   1.2814e+08   4.8746e+08
  8.3204e+01   8.9094e+01   4.4778e+00   1.7641e-01   1.9571e-03   4.0393e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.7657e-01   1.9098e-03   1.2543e+09   4.7717e+09
