## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9554e+00   1.7750e-01   2.8650e-04   5.0604e+04   1.9204e+05
  2.4037e-01   2.5695e-01  -1.3714e+00   1.7794e-01   2.6095e-04   1.6089e+05   6.1052e+05
  4.3133e-01   4.6039e-01  -7.8769e-01   1.7779e-01   1.4237e-04   5.0813e+05   1.9282e+06
  7.7400e-01   8.2616e-01  -2.0234e-01   1.7784e-01   9.4634e-05   1.6055e+06   6.0923e+06
  1.3889e+00   1.4840e+00   3.8373e-01   1.7802e-01   8.3119e-05   5.0680e+06   1.9232e+07
  2.4922e+00   2.6665e+00   9.6985e-01   1.7805e-01   5.6977e-05   1.5999e+07   6.0711e+07
  4.4721e+00   4.7889e+00   1.5553e+00   1.7812e-01   4.4163e-05   5.0692e+07   1.9236e+08
  8.0249e+00   8.5985e+00   2.1404e+00   1.7809e-01   4.8865e-05   1.6118e+08   6.1164e+08
  1.4400e+01   1.5431e+01   2.7249e+00   1.7807e-01   4.4256e-05   5.1232e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.7807e-01   5.0056e-05   1.6278e+09   6.1770e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.7806e-01   4.5071e-05   5.1551e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.7807e-01   4.6503e-05   1.6243e+10   6.1637e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.7806e-01   4.7411e-05   5.0411e+10   1.9130e+11
