## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   6.1193e-02   1.0022e-02   9.1338e+02   3.4770e+03
  2.4037e-01   2.5754e-01  -1.3692e+00   2.2140e-02   2.6333e-03   4.0579e+03   1.5434e+04
  4.3133e-01   4.6098e-01  -7.8717e-01   4.7731e-03   1.3473e-03   1.2435e+04   4.7308e+04
  7.7400e-01   8.2706e-01  -2.0245e-01   3.5346e-03   6.0684e-04   3.8758e+04   1.4744e+05
  1.3889e+00   1.4842e+00   3.8279e-01   1.8490e-03   4.8603e-04   1.2360e+05   4.7018e+05
  2.4922e+00   2.6628e+00   9.6769e-01   1.1541e-03   2.7282e-04   3.9338e+05   1.4965e+06
  4.4721e+00   4.7830e+00   1.5536e+00   9.7431e-04   1.2554e-04   1.2487e+06   4.7502e+06
  8.0249e+00   8.5904e+00   2.1392e+00   6.0564e-04   8.7910e-05   3.9881e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   2.3581e-04   8.6225e-05   1.2705e+07   4.8334e+07
  2.5840e+01   2.7675e+01   3.3089e+00   1.1002e-04   9.4859e-05   4.0401e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   2.5058e-05   9.6408e-05   1.2814e+08   4.8748e+08
  8.3204e+01   8.9095e+01   4.4778e+00   8.8505e-05   9.1412e-05   4.0395e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   8.9899e-06   9.2201e-05   1.2543e+09   4.7716e+09
